,midx1,midy1,midx2,midy2,midx3,midy3,midx4,midy4,midx5,midy5,midx6,midy6,midx7,midy7
1,0.7549544990864795,0.41843216111717285,0.895567985043206,0.42288229187428317,1.0377154992309927,0.4414817101082401,1.270497690626055,0.4457957682046386,1.4465270929736394,0.3949800655112779,1.5756576513853355,0.3242043193259257,1.6828830647954505,0.31478164250913127
3,0.7512520590838531,0.4188623758991915,0.8867732925047807,0.4189497962208414,1.039312803272615,0.43443943376284017,1.2714747887157989,0.45337411164723673,1.4830068793939646,0.391338957368119,1.564124005493197,0.3361669447624912,1.6738315396074215,0.30963111630754103
5,0.7482903819919717,0.4176212345076923,0.8848312495870954,0.41576977138804594,1.0372889304275146,0.4304289970797432,1.245198061483924,0.45920757350762437,1.4520019207131498,0.42581273539527736,1.5636331878748533,0.35205629320247783,1.6825468327380497,0.26070467244219625
7,0.744861302437835,0.4141109327224165,0.8784227498823822,0.41178680043945753,1.0335753904767486,0.4274962040122043,1.2441565526331684,0.45838194178985686,1.4511957747008029,0.44066677300864765,1.5637054570062296,0.3688334964544738,1.6789035369281209,0.27747519156612926
9,0.7416111959413194,0.40993716027589583,0.8721936281006551,0.40257833981208396,1.0360012023731433,0.4191821607989221,1.2419998879306118,0.4538420817174597,1.4615157450686935,0.4488342110219317,1.5537761637953478,0.3910581023971224,1.6843756102557215,0.3001303162053058
11,0.7388461539926813,0.40626562922177917,0.8651795871985569,0.396688285738226,1.0349667428257354,0.40920348602672163,1.2425611926090119,0.4439385121917034,1.4626936099195451,0.45846227291896463,1.5519627804535403,0.4066460574443714,1.689588582360247,0.3187300382874007
13,0.735374863573812,0.4026461128140241,0.8613854325801846,0.3892454882995084,1.0359876725690995,0.4054313689602544,1.241176241115075,0.4372797022847891,1.4635580903938596,0.46416010766965615,1.5537632008028153,0.41739640473954076,1.6916341692631884,0.3435729592535943
15,0.7322917381555472,0.39888570312648697,0.8590719953800002,0.3833521933779601,1.2867074717503562,0.44758804637956556,1.2405744266701895,0.4305859728728815,1.4597877557969408,0.4669447966725185,1.5602873964271593,0.42573491589160306,1.6902806532418502,0.36115902304065295
17,0.7293405132272215,0.39586678603655134,0.8561804814558832,0.3792181611218746,1.291563309461511,0.44141855522631646,1.2282952371374296,0.4189239509433636,1.6322308195906086,0.41231002593736105,1.562055571573106,0.43515548621381456,1.6927618016053698,0.37396581340485674
19,0.7271548435716843,0.39502985213707575,0.8580718876632468,0.3760624422817132,1.0054906267807395,0.37359526960510975,1.4612979640065475,0.4672483775992835,1.6432287628971203,0.4219260969169657,1.5761632147312457,0.44031680824992103,1.6930669220824641,0.3914668064831815
21,0.7243155068374173,0.39352142659613115,0.8574488456626718,0.3738681035958823,1.0230069323317703,0.38039387912434963,1.2236146457313961,0.39926171572811653,1.541030949006287,0.45717308675193663,1.5875456779226487,0.44745432333176977,1.6962147011809598,0.41511719791040136
23,0.7212427519459212,0.391117732959229,0.8547934233346206,0.3724493669500594,1.2668767559948375,0.40784365072074863,1.2120656866364665,0.3896654946336469,1.4560689499415738,0.45492697653807723,1.5946512714943468,0.4561810810548518,1.670814688658275,0.44201996473946553
25,0.718215854362298,0.3889816070102705,0.8559910575621341,0.37174246969967356,1.266374434226703,0.394809275910998,1.4768490550667377,0.4469502589832811,1.5913430734550826,0.4597350119946939,1.5958461506462365,0.45802966797112205,1.678762400861862,0.4553062704075622
27,0.7159370125757009,0.3867701326965348,0.8593772771395266,0.372821369061577,1.2641592731160332,0.3857928320413656,1.2209108546027814,0.37609485016127303,1.528646595363097,0.43914485775196765,1.5968031554670268,0.45738876131949957,1.6753349414328995,0.4696819270701469
29,0.7134170555439426,0.3859465265002772,0.8589396900246958,0.3745629693759319,1.261815453093199,0.37864587822042994,1.199546759728214,0.3754584401036862,1.5843789405056488,0.44319831582698366,1.5970782986505503,0.44683820871033364,1.669080542114405,0.47817283638186747
31,0.7116264382462115,0.3845435886965694,0.8589367730029264,0.37751399193794644,0.9861969908168026,0.3777467616468777,1.2000335260380524,0.3748311447601515,1.5373422817269233,0.40923921572704464,1.5968883882546496,0.43239283463011463,1.679091016804404,0.4724357475446644
33,0.7102569612374982,0.3858407552245422,0.8550082070656377,0.37946348889160203,1.262522026119436,0.3697025951815475,1.2016407957410784,0.3743091750749647,1.5147724506715454,0.38739353907593843,1.616005644290443,0.4225970213486953,1.688277683396434,0.46259974845542295
35,0.7069374203308755,0.38593340129611314,0.8541059712367475,0.38474605702052384,0.9828617325057372,0.3879505902786359,1.2027894936928034,0.3751367512084265,1.5524795240569491,0.377404048159582,1.598520287709859,0.39357502114661574,1.682414770965678,0.43693399106813635
37,0.7046874215511131,0.38433601608230356,0.8492612334737324,0.38674521907399634,0.9805503202960918,0.3934831447838381,1.2012425024692106,0.37959097349509324,1.4384717861400043,0.3571333141722724,1.5934946335354707,0.37240642646484196,1.6788515223481304,0.41479283537719075
