midx2,midx3,midx4,midx5,midx6,midx7,midy2,midy3,midy4,midy5,midy6,midy7,midx1,midy1,t
1358.9,1535.9,1850.9,2138.9,2349.9,2456.9,1463.9,1460.9,1477.9,1447.9,1447.9,1369.9,1176.9,1454.9,1.96
1364.0,1569.0,1859.0,2155.0,2357.0,2489.0,1464.2,1453.2,1478.2,1486.2,1485.2,1327.2,1187.0,1459.2,1.97
1374.3,1555.3,1873.3,2155.3,2365.3,2510.3,1466.3,1453.3,1470.3,1490.3,1457.3,1369.3,1196.3,1468.3,1.98
1388.0,1570.0,1890.0,2183.0,2372.0,2528.0,1468.0,1450.0,1490.0,1487.0,1430.0,1405.0,1203.0,1475.0,1.99
1390.4,1573.4,1907.4,2162.4,2380.4,2544.4,1470.1,1450.1,1468.1,1488.1,1402.1,1428.1,1215.4,1476.1,2.0
1399.3,1520.3,1907.3,2178.3,2387.3,2549.3,1474.1,1460.1,1465.1,1480.1,1402.1,1455.1,1224.3,1472.1,2.01
1408.3,1619.3,1919.3,2177.3,2395.3,2556.3,1474.1,1452.1,1457.1,1468.1,1407.1,1477.1,1231.3,1473.1,2.02
1416.2,1619.2,1917.2,2183.2,2403.2,2552.2,1474.4,1452.4,1453.4,1458.4,1471.4,1553.4,1240.2,1469.4,2.03
1422.4,1621.4,1927.4,2191.4,2410.4,2548.4,1471.1,1455.1,1455.1,1450.1,1472.1,1571.1,1249.4,1461.1,2.04
1431.5,1624.5,1934.5,2224.5,2418.5,2550.5,1465.7,1457.7,1456.7,1436.7,1502.7,1513.7,1261.5,1446.7,2.05
1448.1,1628.1,1951.1,2159.1,2418.1,2553.1,1453.5,1456.5,1460.5,1422.5,1475.5,1456.5,1269.1,1439.5,2.06
1470.9,1625.9,1952.9,2159.9,2442.9,2552.9,1440.7,1451.7,1463.7,1424.7,1455.7,1399.7,1278.9,1428.7,2.07
1463.9,1625.9,1969.9,2165.9,2460.9,2554.9,1430.4,1445.4,1472.4,1428.4,1434.4,1399.4,1290.9,1407.4,2.08
1469.6,1598.6,1970.6,2175.6,2462.6,2556.6,1422.5,1439.5,1476.5,1438.5,1412.5,1414.5,1291.6,1395.5,2.09
1480.0,1606.0,1970.0,2178.0,2466.0,2558.0,1411.7,1424.7,1478.7,1450.7,1392.7,1360.7,1296.0,1390.7,2.1
1483.0,1606.0,1974.0,2186.0,2422.0,2560.0,1403.4,1413.4,1475.4,1463.4,1391.4,1391.4,1303.0,1389.4,2.11
1491.0,1653.0,1978.0,2190.0,2462.0,2560.0,1396.7,1402.7,1459.7,1472.7,1392.7,1366.7,1309.0,1390.7,2.12
1508.1,1624.1,2004.1,2265.1,2474.1,2555.1,1388.6,1387.6,1447.6,1474.6,1420.6,1355.6,1312.1,1393.6,2.13
