t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midx8,midx9,midx10,midx11,midx12,midx13,midx14,midx15,midx16,midx17,midx18,midx19,midx20,midx21,midx22,midx23,midx24,midx25,midx26,midx27,midx28,midx29,midx30,midy1,midy2,midy3,midy4,midy5,midy6,midy7,midy8,midy9,midy10,midy11,midy12,midy13,midy14,midy15,midy16,midy17,midy18,midy19,midy20,midy21,midy22,midy23,midy24,midy25,midy26,midy27,midy28,midy29,midy30
0.12,1.2272,1.2618,1.2962,1.3307,1.3651,1.3997,1.4342,1.4688,1.5034,1.5379,1.5725,1.607,1.6416,1.6761,1.7106,1.7451,1.7797,1.8143,1.8489,1.8835,1.9182,1.9523,1.9865,2.0196,2.0507,2.0803,2.1108,2.1432,2.176,2.2095,0.893,0.89539,0.89878,0.90187,0.90481,0.90679,0.9088,0.91044,0.91191,0.91362,0.9156,0.91783,0.91998,0.92211,0.9252,0.92811,0.9275,0.92783,0.92669,0.92568,0.92547,0.91997,0.91483,0.90465,0.88952,0.87159,0.85536,0.84311,0.83217,0.82317
0.13,1.2226,1.257,1.2912,1.3255,1.3602,1.395,1.4297,1.4645,1.4993,1.534,1.5686,1.6031,1.6377,1.6724,1.7072,1.7419,1.7767,1.8113,1.846,1.8807,1.9154,1.9501,1.9844,2.0182,2.0504,2.081,2.1125,2.1447,2.1769,2.2095,0.88369,0.88859,0.8949,0.90093,0.90312,0.90327,0.90375,0.90396,0.90458,0.9067,0.91025,0.91428,0.91781,0.92026,0.922,0.92348,0.92508,0.9279,0.93062,0.93356,0.93138,0.92938,0.92362,0.91547,0.90239,0.88585,0.87103,0.85787,0.84475,0.83248
0.14,1.2226,1.2569,1.2911,1.3255,1.3598,1.3943,1.4287,1.4631,1.4975,1.5319,1.5663,1.6007,1.635,1.6693,1.7035,1.7377,1.7718,1.8061,1.8404,1.8748,1.9093,1.9436,1.9782,2.0114,2.0443,2.0763,2.1083,2.1397,2.1702,2.2002,0.893,0.8954,0.89931,0.90173,0.90251,0.9012,0.90153,0.9018,0.90261,0.90415,0.90619,0.90855,0.91121,0.91461,0.91831,0.92245,0.92668,0.9303,0.93271,0.93425,0.93493,0.9338,0.9329,0.92453,0.91444,0.90163,0.88887,0.87473,0.85873,0.84179
0.15,1.2226,1.2566,1.2905,1.3245,1.3584,1.3924,1.4263,1.4603,1.4943,1.5283,1.5622,1.596,1.6298,1.6636,1.6972,1.7309,1.7646,1.7984,1.8323,1.8662,1.9002,1.9342,1.9681,2.0021,2.036,2.0698,2.1025,2.1321,2.1585,2.1815,0.90231,0.90314,0.90426,0.90361,0.90254,0.90014,0.899,0.89811,0.89786,0.89859,0.90069,0.90382,0.90745,0.9115,0.91614,0.92075,0.925,0.92837,0.93115,0.9335,0.93501,0.93538,0.93515,0.93442,0.93219,0.92813,0.91873,0.90217,0.88078,0.85576
0.16,1.2226,1.257,1.2914,1.3259,1.3602,1.3946,1.4289,1.4634,1.4978,1.5323,1.5667,1.6011,1.6355,1.6698,1.7041,1.7383,1.7726,1.8068,1.841,1.8751,1.9092,1.9434,1.9778,2.0123,2.0463,2.0795,2.1125,2.144,2.1728,2.2002,0.90696,0.90794,0.90878,0.90893,0.90806,0.90469,0.90298,0.90234,0.90244,0.90297,0.90395,0.9055,0.90751,0.91037,0.91376,0.91739,0.92109,0.92463,0.92863,0.9335,0.93846,0.94236,0.94422,0.94319,0.93769,0.92877,0.91886,0.90496,0.88592,0.86507
0.17,1.2272,1.2617,1.2962,1.3305,1.3648,1.3992,1.4336,1.468,1.5025,1.537,1.5714,1.6059,1.6404,1.6748,1.7091,1.7435,1.7778,1.812,1.8462,1.8803,1.9144,1.9484,1.9825,2.0169,2.0513,2.0858,2.119,2.1507,2.1785,2.2048,0.90696,0.90667,0.9075,0.91073,0.91117,0.90758,0.90561,0.90381,0.90286,0.90294,0.90381,0.90491,0.9061,0.90771,0.91085,0.91404,0.91757,0.92138,0.92581,0.93094,0.93642,0.94201,0.94663,0.95008,0.95083,0.94899,0.93964,0.92658,0.9059,0.88369
0.18,1.2226,1.2572,1.2917,1.3264,1.3609,1.3953,1.4298,1.4645,1.4991,1.5339,1.5686,1.6033,1.638,1.6728,1.7074,1.7417,1.776,1.8104,1.8446,1.8786,1.9126,1.9465,1.981,2.0156,2.0502,2.0849,2.1195,2.1531,2.1841,2.2141,0.90696,0.91023,0.9136,0.91627,0.91416,0.90909,0.90554,0.90262,0.90069,0.89966,0.89894,0.89831,0.89786,0.89814,0.90089,0.90642,0.91167,0.91686,0.92295,0.92972,0.93697,0.94459,0.94787,0.95149,0.95465,0.95597,0.95378,0.94469,0.92917,0.91162
0.19,1.2226,1.2573,1.2921,1.3269,1.3615,1.3962,1.4309,1.4656,1.5004,1.5352,1.57,1.6049,1.6397,1.6745,1.7093,1.744,1.7786,1.8131,1.8477,1.8821,1.9163,1.9506,1.9851,2.0196,2.0541,2.0887,2.1236,2.1579,2.1911,2.2234,0.91162,0.91364,0.91582,0.91738,0.91374,0.91035,0.9071,0.90446,0.90277,0.90207,0.90169,0.90156,0.90172,0.90224,0.9037,0.90675,0.91079,0.91526,0.91977,0.9251,0.93142,0.93751,0.9424,0.94732,0.9523,0.95551,0.95498,0.94896,0.93864,0.92558
0.2,1.2226,1.2569,1.2914,1.3258,1.3601,1.3943,1.4286,1.4629,1.4973,1.5318,1.5662,1.6007,1.6351,1.6696,1.7041,1.7384,1.7727,1.8069,1.8411,1.8753,1.9093,1.9431,1.9761,2.009,2.0422,2.0764,2.1109,2.1453,2.1798,2.2141,0.92093,0.91837,0.91778,0.91724,0.91301,0.90907,0.9055,0.90259,0.90064,0.89959,0.8986,0.89759,0.89667,0.89617,0.89733,0.89999,0.90364,0.90782,0.91216,0.91665,0.92184,0.92902,0.93865,0.94908,0.95837,0.96256,0.96284,0.96229,0.96092,0.95817
0.21,1.2179,1.2522,1.2865,1.3212,1.3557,1.3901,1.4246,1.4591,1.4937,1.5284,1.563,1.5977,1.6323,1.667,1.7017,1.7363,1.771,1.8055,1.8399,1.8742,1.9086,1.9429,1.977,2.0103,2.0427,2.0758,2.1103,2.145,2.1796,2.2141,0.91162,0.91682,0.92186,0.92342,0.92102,0.91681,0.91327,0.91,0.90751,0.90569,0.90425,0.90288,0.90176,0.90099,0.90028,0.89992,0.90128,0.90435,0.90871,0.91371,0.9187,0.92386,0.93011,0.9396,0.95213,0.96244,0.965,0.96393,0.96171,0.95817
