,midx1,midy1,midx2,midy2,midx3,midy3,midx4,midy4,midx5,midy5,midx6,midy6,midx7,midy7
1,0.8127087894768164,0.5864322975724141,0.945799010643562,0.577744020195909,1.1138331097825025,0.5496473175182016,1.3024066382717006,0.5062411916978153,1.5392989926985126,0.45315374710580486,1.693082867375487,0.4428568591784853,1.7971518548248395,0.47305479902708325
3,0.806417017118841,0.5975377914971948,0.9353098130671464,0.5943092302703881,1.1205117259246917,0.5693928189170983,1.3005190635861836,0.5236126969068178,1.4944205074282737,0.46674629478748314,1.6686059344072626,0.4284780860246085,1.794005412314013,0.4597962035714655
5,0.7989574393781941,0.6092997213754346,0.9386671372454857,0.6111766833387771,1.0864258357448024,0.5983808881055565,1.2916144708592612,0.5470727959865567,1.4842697986888789,0.4754072706084243,1.6555282225894252,0.421554825638009,1.786430637074367,0.4322775839404032
7,0.7909437845726678,0.6218567348468378,0.9419991274670925,0.625429817903533,1.0785183067588,0.6128121247891208,1.287914721804905,0.5742920397483747,1.560376323774197,0.4566874183810757,1.6406342285914772,0.41950378397177046,1.774650734207229,0.41580039790239925
9,0.7827044427317117,0.6335847303057935,0.9335928096533284,0.6317639120055003,1.0762976354834874,0.6220640214257929,1.2888015526161405,0.5976492229766946,1.5262356592717936,0.49181671618134437,1.6303953670214564,0.42303707012658864,1.7574076064086397,0.4019392420612248
11,0.7739446589407343,0.6396763624424708,0.9253420845688479,0.6359502107974957,1.0708604280923133,0.6278836647843716,1.2848784273892921,0.6182258818993678,1.5158567808617558,0.5331085103848971,1.6186955717324538,0.4434558249662624,1.7333888952656176,0.38744582795052107
13,0.7654988012525062,0.6468044702417146,0.9028927431261574,0.6380085699626665,1.0618959261035095,0.6304175762652212,1.2659116194937066,0.6318140219745703,1.476083947435595,0.5867663353340566,1.6163212757473555,0.4844687408511392,1.7051155881831208,0.4045607069225147
15,0.7574486872556919,0.644694075505211,0.9006024921604135,0.633823512137722,1.0463609866460093,0.6285818662200952,1.2613254687082476,0.6372669341893844,1.4657808970201451,0.6182427421544767,1.6148875577679114,0.5337775273604737,1.7034816012583385,0.43452915094839256
17,0.7512680894199146,0.6412890383172106,0.8962955182969452,0.6278269647894837,1.0414416530340613,0.6244537652071181,1.2648382993791771,0.6407528490562028,1.4731817643992815,0.6381422962916247,1.6147569554508092,0.5797187201632895,1.71283585734448,0.48335938964389874
19,0.7447845217481138,0.6424219254110712,0.8831436898972723,0.625058422336213,1.038563348447363,0.6151749093675437,1.248890841440625,0.6325842002704671,1.5202447176591798,0.6493651698543024,1.61624596096626,0.6170359525280686,1.7173751079887516,0.5300876209276092
21,0.7387673908229471,0.6475873151654221,0.8784283908996059,0.6269646115976044,1.0327927878596472,0.6124696569349792,1.2452528848331779,0.6232798401742186,1.5221842425907808,0.6673026050461872,1.61272191812297,0.6503499094602956,1.719592954486523,0.5843351257254489
