t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
0.136,1.8649,2.0011,2.138,2.3775,2.5473,2.718,2.8486,1.1299,1.1435,1.1446,1.139,1.1174,1.1149,1.1534
0.14,1.8708,2.0051,2.1412,2.3791,2.5482,2.7178,2.8486,1.1299,1.1502,1.1502,1.1393,1.1208,1.1125,1.1475
0.144,1.8708,2.0059,2.1438,2.385,2.556,2.7271,2.8545,1.1181,1.1433,1.1449,1.1395,1.1211,1.1045,1.1534
0.148,1.8649,2.0004,2.1367,2.3753,2.545,2.7145,2.8486,1.124,1.1399,1.1451,1.1439,1.128,1.11,1.1299
0.152,1.8708,2.0062,2.1425,2.3809,2.5502,2.7198,2.8545,1.124,1.1376,1.1394,1.1413,1.1219,1.1064,1.124
0.156,1.8708,2.0037,2.1399,2.3783,2.5481,2.7152,2.8486,1.1122,1.1408,1.1476,1.1464,1.1342,1.1029,1.1122
0.16,1.8708,2.0033,2.1382,2.3743,2.5416,2.7084,2.8427,1.1181,1.1418,1.1457,1.1497,1.1282,1.1029,1.1122
0.164,1.8767,2.0081,2.1423,2.3771,2.5442,2.7089,2.8427,1.1181,1.1441,1.1476,1.1471,1.1337,1.1023,1.1004
0.168,1.8767,2.0106,2.1463,2.3838,2.5525,2.719,2.8545,1.1181,1.1404,1.145,1.1494,1.1302,1.0973,1.1004
0.172,1.8826,2.01,2.1413,2.3709,2.5345,2.6949,2.825,1.1122,1.1424,1.1452,1.1509,1.1372,1.1033,1.0945
0.176,1.8708,2.0057,2.1434,2.3843,2.556,2.7233,2.8603,1.1122,1.1395,1.1455,1.1558,1.1427,1.1027,1.0886
0.18,1.8708,2.0039,2.1389,2.375,2.5433,2.7096,2.8427,1.1181,1.1382,1.1422,1.1498,1.1388,1.1111,1.0886
0.184,1.8708,2.0064,2.1425,2.3801,2.5494,2.7146,2.8486,1.124,1.1352,1.1366,1.154,1.1408,1.1007,1.0769
0.188,1.8649,1.9991,2.136,2.3747,2.5454,2.7116,2.8427,1.1122,1.1379,1.1419,1.1594,1.1483,1.1106,1.071
0.192,1.8708,2.0058,2.143,2.3828,2.5542,2.7207,2.8545,1.1122,1.1364,1.1412,1.1565,1.1525,1.1138,1.0828
0.196,1.8708,2.0072,2.1443,2.3835,2.5546,2.7207,2.8545,1.1181,1.1323,1.1357,1.1548,1.1498,1.1114,1.0828
0.2,1.8708,2.0089,2.1475,2.3884,2.5612,2.728,2.8603,1.1181,1.129,1.1332,1.1606,1.1555,1.1122,1.071
0.204,1.8649,2.0036,2.1425,2.3846,2.5575,2.7265,2.8545,1.124,1.1292,1.136,1.1557,1.162,1.125,1.071
0.208,1.8649,2.0043,2.1437,2.3868,2.5609,2.7312,2.8603,1.124,1.1275,1.1311,1.1524,1.1555,1.123,1.071
0.212,1.8649,2.0045,2.1447,2.3885,2.5633,2.7339,2.8603,1.1181,1.1288,1.1277,1.1552,1.1651,1.1314,1.071
0.216,1.8591,2.0002,2.1414,2.3868,2.5631,2.7357,2.8603,1.1299,1.1314,1.1311,1.1604,1.1684,1.1364,1.071
0.22,1.8708,2.0063,2.1436,2.3827,2.5534,2.7228,2.8427,1.1181,1.1312,1.1242,1.1477,1.1678,1.1423,1.0769
0.224,1.8649,2.0045,2.1443,2.3879,2.5617,2.7341,2.8545,1.1299,1.1331,1.1271,1.1516,1.1706,1.1515,1.0828
0.228,1.8591,1.9951,2.1325,2.3724,2.5425,2.7129,2.8368,1.124,1.1382,1.1331,1.146,1.1704,1.1567,1.1004
0.232,1.8591,1.9976,2.1364,2.3786,2.5508,2.723,2.8486,1.1299,1.1333,1.127,1.1437,1.1674,1.1641,1.1063
0.236,1.8649,2.0005,2.1368,2.375,2.5433,2.7125,2.8368,1.1299,1.1417,1.1351,1.1454,1.1734,1.1719,1.1181
0.24,1.8649,2.0019,2.1392,2.3788,2.5488,2.7204,2.8427,1.1299,1.1327,1.1272,1.1459,1.1709,1.1749,1.1181
0.244,1.8649,2.0033,2.1418,2.384,2.5553,2.7279,2.8545,1.1417,1.1352,1.1266,1.1423,1.1702,1.1797,1.1299
0.248,1.8708,2.0067,2.1433,2.382,2.5508,2.7203,2.8486,1.1475,1.1377,1.1341,1.1382,1.163,1.1797,1.1358
0.252,1.8649,2.0049,2.145,2.3903,2.5632,2.7367,2.8662,1.1417,1.1337,1.127,1.1373,1.1668,1.1916,1.1417
0.256,1.8591,1.9989,2.1388,2.3843,2.5573,2.7315,2.8662,1.1417,1.1456,1.1315,1.1354,1.1657,1.1885,1.1534
0.26,1.8649,2.0018,2.1393,2.3802,2.5506,2.7192,2.8545,1.1358,1.1448,1.1342,1.1322,1.1556,1.1902,1.1711
0.264,1.8708,2.0072,2.1436,2.3824,2.5512,2.7182,2.8545,1.1475,1.1452,1.1391,1.1336,1.156,1.1891,1.1829
0.268,1.8649,2.0033,2.1416,2.3838,2.5546,2.723,2.8603,1.1417,1.1412,1.1329,1.1332,1.1603,1.1974,1.1829
0.272,1.8708,2.0083,2.1461,2.3875,2.5583,2.7244,2.8603,1.1534,1.1393,1.1294,1.1318,1.1565,1.2032,1.1829
0.276,1.8649,2.003,2.1418,2.3862,2.5585,2.7268,2.8662,1.1417,1.1506,1.1353,1.1279,1.1552,1.2016,1.2064
0.28,1.8591,1.9977,2.1363,2.3784,2.5513,2.717,2.8545,1.1534,1.1512,1.1432,1.1296,1.1431,1.1936,1.2123
0.284,1.8649,2.0041,2.1436,2.3878,2.5616,2.7277,2.8662,1.1417,1.1428,1.1365,1.1296,1.1447,1.1965,1.2123
0.288,1.8649,2.0055,2.1463,2.3921,2.5672,2.732,2.8721,1.1417,1.1437,1.1376,1.1225,1.1386,1.1986,1.2123
0.292,1.8649,2.0044,2.1442,2.3888,2.5636,2.7284,2.8603,1.1593,1.1482,1.1377,1.1216,1.1319,1.1889,1.2359
0.296,1.8708,2.009,2.1475,2.39,2.5631,2.7293,2.8603,1.1417,1.1449,1.1384,1.128,1.1311,1.1786,1.2241
0.3,1.8708,2.0075,2.1445,2.3847,2.5562,2.7214,2.8486,1.1534,1.1436,1.1346,1.1262,1.1329,1.1781,1.23
0.304,1.8649,2.0046,2.1446,2.3899,2.5647,2.7348,2.8662,1.1417,1.1474,1.1378,1.1238,1.1324,1.1749,1.2241
0.308,1.8649,2.0023,2.1402,2.3806,2.5527,2.7198,2.8486,1.1417,1.1486,1.1445,1.123,1.1234,1.1632,1.2123
0.312,1.8649,2.0028,2.1411,2.3822,2.5548,2.7229,2.8427,1.1417,1.1475,1.1439,1.1229,1.117,1.1557,1.2241
0.316,1.8591,2.0004,2.143,2.3926,2.5709,2.7459,2.8662,1.1358,1.1479,1.1416,1.1289,1.122,1.1535,1.23
0.32,1.8591,1.9958,2.1344,2.3766,2.5491,2.7213,2.8427,1.1358,1.1537,1.1502,1.1382,1.1232,1.1415,1.2064
0.324,1.8532,1.9918,2.1305,2.3724,2.5455,2.718,2.8368,1.1417,1.1491,1.1562,1.1307,1.1174,1.1357,1.2006
0.328,1.8649,2.0031,2.142,2.3843,2.5571,2.7294,2.8486,1.1358,1.1485,1.1473,1.1294,1.1142,1.1325,1.1947
0.332,1.8708,2.0021,2.1367,2.3718,2.5393,2.7066,2.8368,1.124,1.1486,1.1441,1.1341,1.1185,1.1321,1.1652
0.336,1.8649,1.999,2.1347,2.3716,2.5405,2.7099,2.8309,1.1299,1.1478,1.1498,1.1347,1.1202,1.1134,1.1652
0.34,1.8649,1.9965,2.1317,2.3681,2.5361,2.7044,2.8309,1.1181,1.1466,1.1475,1.142,1.1236,1.1082,1.1475
0.344,1.8649,1.9977,2.1338,2.3715,2.5402,2.7097,2.8427,1.1181,1.1465,1.1475,1.1374,1.1154,1.1136,1.1417
0.348,1.8591,1.9946,2.132,2.3717,2.542,2.7132,2.8486,1.124,1.1452,1.1487,1.1434,1.1206,1.108,1.1299
0.352,1.8649,1.9985,2.1343,2.3718,2.5407,2.7092,2.8427,1.124,1.1468,1.1508,1.1467,1.129,1.108,1.1299
0.356,1.8708,2.0039,2.1396,2.3765,2.5446,2.7132,2.8486,1.1181,1.1427,1.145,1.1444,1.1223,1.1047,1.1122
0.36,1.8708,2.004,2.1395,2.3767,2.5451,2.7131,2.8486,1.1181,1.1431,1.1505,1.1516,1.132,1.1082,1.1122
0.364,1.8649,1.9993,2.1357,2.3746,2.543,2.7122,2.8486,1.1181,1.1421,1.1484,1.1525,1.1267,1.1048,1.1122
0.368,1.8649,1.999,2.1356,2.3738,2.5432,2.7121,2.8486,1.1122,1.1378,1.1427,1.1566,1.1352,1.1094,1.1122
0.372,1.8708,2.0037,2.1397,2.3777,2.5469,2.7135,2.8486,1.1122,1.1408,1.1481,1.1495,1.1312,1.0969,1.1063
0.376,1.8767,2.0068,2.1396,2.3719,2.5373,2.6981,2.8309,1.1122,1.1391,1.1468,1.1573,1.1416,1.1002,1.0945
0.38,1.8708,2.0033,2.1415,2.3838,2.5568,2.7223,2.8603,1.1004,1.1388,1.1493,1.1565,1.1486,1.0999,1.0886
0.384,1.8591,1.9955,2.1344,2.3769,2.55,2.7172,2.8545,1.1122,1.1375,1.1443,1.1605,1.1467,1.1049,1.0886
0.388,1.8708,2.0058,2.1418,2.3802,2.5504,2.713,2.8486,1.1122,1.1345,1.1487,1.1686,1.1567,1.1058,1.0886
0.392,1.8649,1.9973,2.1342,2.3725,2.5434,2.7107,2.8427,1.1063,1.1366,1.14,1.1643,1.1541,1.1194,1.0828
0.396,1.8649,2.0001,2.1377,2.3785,2.5504,2.7176,2.8486,1.1063,1.1332,1.143,1.1608,1.1609,1.1202,1.0769
0.4,1.8649,2.002,2.1394,2.3786,2.5505,2.7137,2.8486,1.1181,1.1298,1.1368,1.164,1.1614,1.114,1.0886
0.404,1.8708,2.0059,2.1419,2.3783,2.5479,2.7147,2.8427,1.1181,1.1315,1.1342,1.1595,1.1591,1.1286,1.0828
0.408,1.8708,2.0071,2.1438,2.3807,2.5516,2.7189,2.8427,1.1181,1.1288,1.1325,1.1654,1.1679,1.1342,1.0769
0.412,1.8708,2.0089,2.1479,2.3896,2.5635,2.7329,2.8603,1.1181,1.1338,1.1386,1.1685,1.1656,1.1324,1.0769
0.416,1.8767,2.0103,2.1466,2.3837,2.5534,2.7198,2.8427,1.1122,1.1362,1.1372,1.1628,1.1749,1.1413,1.0828
0.42,1.8767,2.0132,2.15,2.3884,2.5584,2.7248,2.8486,1.1299,1.1293,1.1352,1.1594,1.1771,1.1407,1.0828
0.424,1.8708,2.0071,2.1435,2.3808,2.5506,2.7203,2.8368,1.124,1.1299,1.1315,1.1595,1.1747,1.1582,1.0886
0.428,1.8708,2.0091,2.1477,2.3886,2.5597,2.7301,2.8486,1.1181,1.1278,1.1339,1.1608,1.1858,1.1592,1.0886
0.432,1.8767,2.0139,2.1513,2.3894,2.5599,2.7307,2.8486,1.1299,1.1264,1.1247,1.158,1.1781,1.1632,1.0945
0.436,1.8708,2.0097,2.1493,2.3913,2.5632,2.7369,2.8545,1.1181,1.1309,1.1282,1.1551,1.1837,1.1739,1.1004
0.44,1.8708,2.0052,2.1416,2.378,2.547,2.717,2.8427,1.1181,1.1339,1.1301,1.1555,1.1782,1.1752,1.124
0.444,1.8708,2.0076,2.1454,2.3849,2.554,2.7249,2.8486,1.124,1.1297,1.127,1.1497,1.1822,1.1889,1.1299
0.448,1.8708,2.0095,2.1483,2.3899,2.5594,2.7324,2.8545,1.1299,1.1305,1.1272,1.1459,1.1831,1.1856,1.124
0.452,1.8591,2.0019,2.1448,2.3937,2.568,2.7452,2.8721,1.1358,1.132,1.127,1.1488,1.1886,1.1938,1.1299
0.456,1.8708,2.0098,2.149,2.3919,2.5624,2.7345,2.8603,1.1358,1.1364,1.1329,1.1463,1.1805,1.2027,1.1475
0.46,1.8649,2.0026,2.1407,2.3822,2.551,2.7231,2.8603,1.1358,1.1357,1.1255,1.1397,1.1785,1.1946,1.177
0.464,1.8767,2.0158,2.1557,2.4007,2.5718,2.7451,2.878,1.1299,1.1342,1.125,1.1426,1.1818,1.2007,1.1593
0.468,1.8708,2.0081,2.1454,2.3851,2.555,2.7247,2.8603,1.1417,1.1372,1.1301,1.1507,1.1773,1.2037,1.1829
0.472,1.8708,2.005,2.14,2.3762,2.5426,2.7076,2.8427,1.1299,1.1387,1.132,1.1374,1.1657,1.1987,1.1947
0.476,1.8649,2.0042,2.1439,2.3887,2.5592,2.7298,2.8662,1.1417,1.1457,1.1357,1.1399,1.1773,1.2152,1.1888
0.48,1.8767,2.0131,2.1499,2.3894,2.5579,2.7238,2.8603,1.1358,1.1427,1.1334,1.1338,1.1628,1.2048,1.2064
0.484,1.8708,2.0092,2.1489,2.3933,2.5654,2.7328,2.8721,1.1299,1.1445,1.1364,1.1317,1.1624,1.2124,1.2064
0.488,1.8708,2.0054,2.1398,2.3749,2.542,2.7054,2.8368,1.1417,1.1407,1.1314,1.1326,1.1532,1.1942,1.2241
0.492,1.8649,2.0016,2.1396,2.3816,2.553,2.7172,2.8545,1.1299,1.1445,1.1358,1.1342,1.1562,1.2098,1.2123
0.496,1.8649,2.0017,2.1391,2.3792,2.5497,2.7137,2.8486,1.1475,1.1376,1.1386,1.1309,1.1491,1.1989,1.2241
0.5,1.8767,2.0152,2.1536,2.395,2.5667,2.7285,2.8662,1.1417,1.143,1.1399,1.1254,1.1457,1.2052,1.2182
0.504,1.8708,2.011,2.1511,2.3955,2.5693,2.7282,2.8662,1.1475,1.1462,1.139,1.1152,1.1354,1.2067,1.23
0.508,1.8767,2.0127,2.1491,2.388,2.558,2.7202,2.8545,1.1358,1.142,1.1337,1.1254,1.1414,1.1933,1.2182
0.512,1.8767,2.0133,2.15,2.3891,2.5592,2.7212,2.8545,1.1417,1.1423,1.1391,1.1311,1.1417,1.1952,1.2241
0.516,1.8767,2.0176,2.1584,2.4051,2.5809,2.7485,2.8839,1.1475,1.1436,1.1343,1.1248,1.1364,1.1904,1.23
0.52,1.8767,2.0159,2.1553,2.3992,2.5734,2.7376,2.8721,1.1358,1.141,1.1343,1.125,1.1349,1.1875,1.2241
0.524,1.8708,2.0093,2.1478,2.3896,2.5627,2.7306,2.8486,1.1417,1.1411,1.1387,1.1224,1.1281,1.1644,1.2359
0.528,1.8826,2.018,2.1546,2.3931,2.5636,2.729,2.8486,1.1299,1.1455,1.1435,1.1277,1.1187,1.1581,1.2241
0.532,1.8826,2.0216,2.1617,2.406,2.5811,2.7514,2.8662,1.1299,1.1451,1.1438,1.1242,1.121,1.1553,1.2359
0.536,1.8826,2.0188,2.1552,2.3928,2.5627,2.7302,2.8427,1.1358,1.1439,1.1469,1.1234,1.1164,1.1453,1.2182
0.54,1.8826,2.0186,2.1569,2.3985,2.5705,2.7397,2.8545,1.124,1.1452,1.1444,1.1321,1.116,1.1455,1.2182
0.544,1.8767,2.0141,2.1516,2.3921,2.5636,2.7342,2.8545,1.1358,1.1432,1.1472,1.1335,1.1212,1.1364,1.2006
0.548,1.8885,2.0231,2.1602,2.3997,2.5707,2.7415,2.8662,1.124,1.1492,1.1526,1.1375,1.1244,1.1396,1.1947
0.552,1.8767,2.0117,2.1496,2.3905,2.5623,2.7336,2.8603,1.1181,1.1452,1.1475,1.1361,1.1216,1.1351,1.1888
0.556,1.8826,2.0174,2.1549,2.3948,2.5651,2.7364,2.8603,1.1122,1.1374,1.1392,1.1387,1.1158,1.1208,1.177
0.56,1.8826,2.0174,2.1555,2.3963,2.5682,2.7404,2.8662,1.1122,1.1402,1.142,1.1354,1.1208,1.1125,1.1652
0.564,1.8767,2.0113,2.1474,2.3851,2.5543,2.7237,2.8545,1.1181,1.1383,1.1416,1.1459,1.1275,1.1186,1.1534
0.568,1.9003,2.0299,2.1637,2.3976,2.564,2.7296,2.8603,1.1063,1.1384,1.1413,1.1488,1.1362,1.1134,1.1358
0.572,1.8826,2.0165,2.1544,2.3958,2.5674,2.739,2.8721,1.1063,1.138,1.1422,1.1464,1.1297,1.1143,1.1475
0.576,1.8944,2.0296,2.1642,2.4015,2.5697,2.7376,2.8721,1.1181,1.1317,1.151,1.1608,1.1372,1.1119,1.1299
0.58,1.8885,2.0201,2.1556,2.3921,2.5608,2.7269,2.8603,1.1004,1.1312,1.1365,1.1529,1.1429,1.1098,1.124
0.584,1.8944,2.0275,2.1617,2.397,2.5644,2.7312,2.8662,1.1063,1.1286,1.1448,1.1587,1.1369,1.1104,1.1063
0.588,1.8944,2.0294,2.1646,2.4014,2.5705,2.737,2.8721,1.1063,1.1206,1.1325,1.1506,1.139,1.1065,1.0945
0.592,1.8885,2.0241,2.1603,2.3989,2.5686,2.7362,2.8721,1.1122,1.1279,1.1389,1.156,1.1423,1.1091,1.0945
0.596,1.8944,2.0309,2.1677,2.4079,2.5798,2.7479,2.8839,1.1063,1.1226,1.1394,1.1604,1.1515,1.1157,1.0945
0.6,1.8885,2.023,2.1624,2.4067,2.5813,2.7518,2.8898,1.0886,1.1261,1.1384,1.1546,1.1563,1.1177,1.0945
0.604,1.8944,2.0304,2.1675,2.4046,2.5755,2.7428,2.878,1.1063,1.1224,1.1264,1.1609,1.1479,1.1111,1.0886
