t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
0.008,1.8826,2.0203,2.159,2.4007,2.5735,2.7393,2.8721,1.1181,1.1322,1.1335,1.1531,1.1615,1.116,1.0769
0.012,1.8826,2.0199,2.1578,2.398,2.569,2.7362,2.8603,1.1181,1.1287,1.1279,1.1518,1.1738,1.137,1.0769
0.016,1.8826,2.0196,2.1575,2.3971,2.5684,2.7347,2.8603,1.1181,1.1305,1.1245,1.1525,1.1719,1.1337,1.0769
0.02,1.8826,2.019,2.1592,2.4034,2.5776,2.7482,2.8603,1.1063,1.1336,1.1299,1.151,1.1693,1.1425,1.0592
0.024,1.8767,2.0148,2.153,2.394,2.5659,2.7367,2.8486,1.1299,1.1333,1.1273,1.1503,1.1684,1.1554,1.0769
0.028,1.8885,2.0235,2.1591,2.3956,2.5628,2.7305,2.8486,1.124,1.134,1.1299,1.1479,1.1757,1.1585,1.0945
0.032,1.8885,2.0247,2.1621,2.4019,2.5714,2.7405,2.8603,1.1181,1.132,1.1271,1.1446,1.1738,1.1717,1.1063
0.036,1.8767,2.0144,2.1537,2.3967,2.5686,2.74,2.8603,1.1181,1.1353,1.1329,1.1464,1.1728,1.1714,1.1063
0.04,1.8826,2.0201,2.1577,2.3979,2.566,2.7372,2.8545,1.1299,1.1322,1.127,1.1427,1.1796,1.183,1.1181
0.044,1.8826,2.0204,2.1588,2.4001,2.571,2.7432,2.8721,1.1299,1.1388,1.1328,1.1423,1.1703,1.1823,1.1358
0.048,1.8826,2.0201,2.1575,2.3977,2.5667,2.7378,2.8662,1.1417,1.1353,1.1264,1.1351,1.1684,1.1856,1.1417
0.052,1.8826,2.0198,2.1574,2.3987,2.5677,2.7384,2.8662,1.1299,1.138,1.1269,1.1389,1.1729,1.1921,1.1475
0.056,1.8826,2.0214,2.1601,2.4024,2.5722,2.7425,2.8721,1.1417,1.1402,1.13,1.1348,1.1713,1.2035,1.1593
0.06,1.8826,2.0202,2.1579,2.3994,2.5695,2.7376,2.8721,1.1417,1.1399,1.1297,1.1327,1.1634,1.2031,1.177
0.064,1.8826,2.0215,2.1604,2.4036,2.574,2.7417,2.878,1.1417,1.1372,1.1299,1.1279,1.1607,1.2062,1.1829
0.068,1.8826,2.0204,2.1584,2.4002,2.5711,2.7346,2.8721,1.1358,1.1419,1.1311,1.1258,1.1524,1.2068,1.1947
0.072,1.8826,2.0198,2.1575,2.3988,2.5684,2.7341,2.8721,1.1358,1.14,1.129,1.1192,1.1515,1.1994,1.2006
0.076,1.8826,2.0215,2.1604,2.4038,2.5757,2.7391,2.878,1.1417,1.1394,1.1301,1.1242,1.1502,1.2087,1.2182
0.08,1.8767,2.0168,2.157,2.4019,2.5752,2.7382,2.878,1.1417,1.1395,1.1357,1.1236,1.1445,1.2082,1.2182
0.084,1.8649,2.0066,2.1483,2.3962,2.5716,2.7382,2.878,1.1475,1.1399,1.1327,1.1185,1.1399,1.2001,1.2241
0.088,1.8826,2.0222,2.162,2.4068,2.5806,2.7415,2.878,1.1417,1.1371,1.1286,1.1178,1.1377,1.2049,1.2359
0.092,1.8708,2.0108,2.1519,2.3981,2.5743,2.7353,2.8721,1.1358,1.1466,1.1401,1.1208,1.1318,1.2019,1.2359
0.096,1.8767,2.0177,2.1587,2.4056,2.582,2.7451,2.878,1.1417,1.1402,1.1327,1.1264,1.1297,1.1912,1.2359
0.1,1.8767,2.016,2.1565,2.4019,2.5774,2.7415,2.8721,1.1358,1.1478,1.139,1.1189,1.1251,1.1841,1.2359
0.104,1.8708,2.0108,2.1515,2.3976,2.5736,2.744,2.8662,1.1417,1.1446,1.136,1.1223,1.1287,1.1722,1.2418
0.108,1.8708,2.0134,2.1561,2.4051,2.5832,2.7521,2.8721,1.1417,1.1446,1.1403,1.1199,1.1176,1.1708,1.2477
0.112,1.8708,2.0122,2.1536,2.4006,2.5772,2.75,2.8662,1.1417,1.1453,1.1442,1.1288,1.1216,1.156,1.2359
0.116,1.8767,2.0148,2.1534,2.395,2.5678,2.7374,2.8545,1.1358,1.1414,1.1435,1.1205,1.1127,1.1457,1.2182
0.12,1.8708,2.0077,2.1448,2.384,2.5552,2.7244,2.8486,1.1417,1.1401,1.1441,1.1235,1.1185,1.144,1.2006
0.124,1.8826,2.0167,2.1522,2.3887,2.5577,2.7243,2.8486,1.1299,1.1471,1.1474,1.1321,1.1223,1.1425,1.1947
0.128,1.8708,2.0074,2.1449,2.3855,2.5567,2.7283,2.8545,1.1358,1.1469,1.1417,1.1348,1.1194,1.1242,1.177
0.132,1.8767,2.012,2.1477,2.3849,2.5537,2.7224,2.8486,1.1358,1.1417,1.1388,1.129,1.1126,1.1178,1.1652
