t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midx8,midx9,midx10,midx11,midx12,midx13,midx14,midx15,midx16,midx17,midx18,midx19,midx20,midx21,midx22,midx23,midx24,midx25,midx26,midx27,midx28,midx29,midx30,midy1,midy2,midy3,midy4,midy5,midy6,midy7,midy8,midy9,midy10,midy11,midy12,midy13,midy14,midy15,midy16,midy17,midy18,midy19,midy20,midy21,midy22,midy23,midy24,midy25,midy26,midy27,midy28,midy29,midy30
0.008,1.6211,1.6561,1.6912,1.7262,1.7609,1.7957,1.8304,1.865,1.8995,1.9338,1.9681,2.0025,2.0371,2.0717,2.1064,2.1413,2.1763,2.2113,2.2464,2.2814,2.3163,2.351,2.3846,2.4171,2.4493,2.4817,2.514,2.5457,2.5771,2.6081,1.7593,1.7593,1.7595,1.759,1.7541,1.7495,1.7446,1.7392,1.7328,1.7257,1.7185,1.7121,1.7063,1.7007,1.6958,1.692,1.6908,1.6898,1.6898,1.6898,1.693,1.6977,1.708,1.7211,1.7349,1.7482,1.7618,1.7767,1.7924,1.8086
0.012,1.6266,1.6609,1.6952,1.7294,1.7633,1.7973,1.8313,1.8654,1.8995,1.9335,1.9675,2.0016,2.0357,2.0698,2.1037,2.1377,2.1718,2.2062,2.2406,2.275,2.3094,2.3437,2.3776,2.4096,2.4386,2.4685,2.5001,2.5321,2.5643,2.5972,1.7648,1.7624,1.7592,1.7555,1.7497,1.7445,1.7393,1.7345,1.7299,1.7246,1.7197,1.715,1.7104,1.7053,1.6996,1.6942,1.69,1.6877,1.6867,1.6866,1.6876,1.6896,1.6953,1.7081,1.7265,1.7436,1.7573,1.7699,1.782,1.7922
0.016,1.6321,1.6665,1.7008,1.7351,1.7693,1.8036,1.8378,1.8721,1.9062,1.9401,1.974,2.0079,2.0419,2.0759,2.11,2.1441,2.1782,2.2125,2.2468,2.2811,2.3157,2.3493,2.3834,2.4163,2.448,2.4794,2.511,2.542,2.5724,2.6026,1.7593,1.7596,1.7577,1.7548,1.7509,1.7474,1.744,1.7406,1.7366,1.7305,1.7243,1.7186,1.7133,1.7081,1.7032,1.6984,1.6942,1.6908,1.6881,1.6868,1.6872,1.694,1.6991,1.709,1.7225,1.7366,1.7501,1.7651,1.7812,1.7977
0.02,1.6211,1.6558,1.6905,1.7253,1.7601,1.7949,1.8297,1.8645,1.8992,1.9337,1.9681,2.0025,2.0371,2.0717,2.1063,2.1409,2.1756,2.2103,2.2451,2.28,2.3148,2.3497,2.3846,2.4175,2.4488,2.4792,2.5105,2.5417,2.5722,2.6026,1.7593,1.7562,1.7525,1.7496,1.7469,1.7448,1.7427,1.7405,1.7372,1.7318,1.7259,1.7203,1.7154,1.711,1.7067,1.7024,1.6987,1.6956,1.693,1.6912,1.6906,1.6921,1.6945,1.7058,1.7211,1.7381,1.7536,1.7691,1.786,1.8031
0.024,1.6321,1.6663,1.7004,1.7346,1.7688,1.803,1.8372,1.8714,1.9054,1.9391,1.9727,2.0062,2.0399,2.0736,2.1074,2.1412,2.1751,2.2091,2.2431,2.2772,2.3114,2.3456,2.3795,2.4134,2.4447,2.4753,2.5056,2.5355,2.564,2.5917,1.7593,1.7587,1.7566,1.7554,1.7537,1.7523,1.7509,1.7494,1.7463,1.7403,1.7336,1.7268,1.7205,1.7146,1.7092,1.7041,1.6995,1.6955,1.6917,1.6885,1.6869,1.6875,1.6915,1.6971,1.7107,1.726,1.742,1.7585,1.7776,1.7977
0.028,1.6266,1.6612,1.6958,1.7304,1.7649,1.7993,1.8338,1.8683,1.9027,1.937,1.9714,2.0057,2.0401,2.0743,2.1084,2.1423,2.1764,2.2108,2.2453,2.2798,2.3144,2.349,2.3836,2.417,2.4487,2.4803,2.5092,2.5389,2.5656,2.5917,1.7538,1.7525,1.7521,1.7528,1.7494,1.7464,1.7432,1.7398,1.736,1.7316,1.7273,1.7229,1.7182,1.713,1.7068,1.7002,1.6941,1.6895,1.6867,1.6843,1.6826,1.6819,1.6843,1.6934,1.7071,1.7214,1.7405,1.7583,1.7804,1.8031
0.032,1.6266,1.6611,1.6957,1.7304,1.7651,1.7998,1.8344,1.869,1.9036,1.9381,1.9725,2.0068,2.0412,2.0754,2.1095,2.1434,2.1772,2.2114,2.2459,2.2806,2.3154,2.3501,2.3847,2.4192,2.4517,2.4821,2.5101,2.5396,2.5667,2.5917,1.7593,1.7558,1.753,1.7528,1.7504,1.7483,1.7458,1.743,1.7396,1.7353,1.7308,1.7257,1.7203,1.7147,1.7081,1.7003,1.6926,1.6862,1.6828,1.6816,1.6816,1.6827,1.6851,1.6894,1.7015,1.7185,1.739,1.7573,1.779,1.8031
0.036,1.6266,1.6609,1.6953,1.7296,1.7639,1.7982,1.8325,1.8668,1.9009,1.9349,1.9688,2.0028,2.0368,2.0707,2.1046,2.1385,2.1724,2.2064,2.2404,2.2745,2.3087,2.343,2.3772,2.4113,2.4416,2.4741,2.5059,2.5363,2.5645,2.5917,1.7538,1.7533,1.7525,1.7517,1.7493,1.7474,1.7456,1.7434,1.7396,1.7344,1.7288,1.7237,1.7188,1.7136,1.708,1.7021,1.6966,1.6916,1.687,1.6827,1.6794,1.6771,1.6783,1.6843,1.7002,1.7115,1.7246,1.7406,1.7603,1.7812
0.04,1.6321,1.666,1.6999,1.7343,1.7685,1.8027,1.8369,1.8711,1.9054,1.9397,1.9741,2.0084,2.0426,2.0766,2.1101,2.1432,2.1766,2.2102,2.244,2.2782,2.3125,2.3469,2.3812,2.4149,2.4474,2.4798,2.5113,2.5387,2.5656,2.5917,1.7428,1.7485,1.7533,1.7524,1.749,1.7451,1.7416,1.7386,1.7362,1.7341,1.732,1.7295,1.7264,1.7213,1.7136,1.7045,1.696,1.6887,1.6828,1.6789,1.6772,1.6767,1.6785,1.6859,1.6971,1.7085,1.7219,1.7429,1.7643,1.7867
0.044,1.6266,1.6609,1.6952,1.7296,1.7639,1.7982,1.8325,1.8669,1.9012,1.9356,1.9698,2.0039,2.0379,2.0718,2.1054,2.1387,2.172,2.2057,2.2397,2.2738,2.308,2.3422,2.3766,2.4107,2.4443,2.4773,2.5092,2.5398,2.566,2.5917,1.7483,1.7494,1.7512,1.7517,1.7503,1.7475,1.7458,1.7443,1.7428,1.7411,1.738,1.7336,1.7285,1.7225,1.7153,1.7069,1.6985,1.6915,1.6865,1.6823,1.6785,1.6755,1.6751,1.6796,1.6872,1.6967,1.7096,1.725,1.7475,1.7702
