,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
1,0.7585584028238161,0.8898409752960803,1.0213890332536273,1.2514322062510326,1.4118518107330662,1.5598599687781367,1.6906779416511566,0.42443164532135264,0.43626566082782614,0.44695808874758436,0.4459625181777745,0.40875472741541286,0.3357462189626875,0.32296972998346063
3,0.7572309753974029,0.8902392035240042,1.023778402621171,1.2574720010412126,1.4214092882032412,1.566629848652844,1.6947265953017168,0.42443164532135264,0.4364846863531843,0.44486075341385156,0.44800011927731875,0.42043608876784894,0.3383214281699291,0.3013260257957936
5,0.7517885229491088,0.8862569212447646,1.0201279771985348,1.2550162603023483,1.4204137176334313,1.567028076880768,1.6865629166292755,0.42578562129629405,0.4305709971685136,0.4440443855466074,0.4539934541075743,0.4294094981704021,0.348170939673915,0.28644556434570173
7,0.7517885229491088,0.8861241785021233,1.020260719941176,1.2554808599015927,1.4226703442583337,1.5706121309320837,1.6784656093281551,0.4176684025837774,0.4244382824584847,0.4363851292962034,0.4544049566097624,0.44326784050215573,0.3645513941158537,0.2837442495329509
9,0.7491336680962825,0.883469323649297,1.0174731223457083,1.2516313203649945,1.4189535474643769,1.5680236474505778,1.681186835552302,0.4190223785587189,0.4222347529306387,0.4327944381077557,0.4573252969478714,0.4565155662177594,0.3835336063135623,0.31079722048325165
11,0.7450186430744016,0.8796197841126987,1.0145527820075992,1.248445494541603,1.416365063982871,1.5698820458475564,1.6879567154270092,0.41225913582114365,0.4176086683495889,0.42319713781478835,0.45590494960160927,0.46122793358152614,0.3992702584536907,0.33379490064586015
13,0.7423637882215751,0.8776950143443997,1.0128934977245827,1.2469853243725484,1.415634978898344,1.5731342430422686,1.6906779416511566,0.4095511838712607,0.4098233064936755,0.41553788156438426,0.4547169020549695,0.467546488131253,0.4123055957810682,0.3446200713082597
15,0.7382487631996942,0.8732481324659155,1.0083138731034573,1.241808357409537,1.4091305845089193,1.5700147885901976,1.6892841428534224,0.4068432319213779,0.40416182852002325,0.4104073745612973,0.4488032128702988,0.47046019133222994,0.4273453485223295,0.3635558235460438
17,0.7382487631996942,0.8718543336681815,1.0056590182506309,1.2365650190752049,1.4013651340644022,1.564837821627186,1.6852354892028623,0.4027879411336856,0.3974184971938442,0.40260873843111983,0.44053334000374456,0.46830975890144055,0.4381439706362008,0.3797902609710771
19,0.7342001095491341,0.8674074517896975,1.0016103646000707,1.232848222281248,1.3979138227557277,1.5633776514581317,1.6852354892028623,0.4027879411336856,0.39212206176245556,0.39657558077807187,0.4346594736418662,0.4630929691156367,0.4500178089654668,0.3946707224211689
21,0.7301514558985738,0.8641552545949851,0.9988891383759236,1.2317199089687967,1.3961881671013907,1.5641077365426588,1.6879567154270092,0.39872601320886125,0.38617518689212454,0.39050260030223155,0.42441173390995646,0.46080315680507394,0.45760405670741816,0.4068432319213779
23,0.7274302296744268,0.861234914256876,0.9957033125525321,1.2293969109725738,1.392205884822151,1.55919625506493,1.6906779416511566,0.39872601320886125,0.3869052719766518,0.38952030400668575,0.4113365737597865,0.4524735497043312,0.4584668845345867,0.43119488805892775
25,0.7261028022480136,0.858712802146691,0.9921192585012164,1.2246181722374863,1.386962546487819,1.551430804620413,1.683908061776449,0.3946707224211689,0.38352696917643025,0.385318996202088,0.4007636143084055,0.4376660967626921,0.46335845460091935,0.4487833014589025
27,0.7207267211710403,0.8541995488968862,0.9884024617072595,1.2227597738405078,1.3878917456863082,1.5515635473630542,1.6852354892028623,0.3946707224211689,0.3877150027067638,0.38549819890465387,0.39194949619702185,0.42025688606528316,0.45583194109315656,0.4650177388839358
29,0.7193329223733064,0.8528057500991524,0.986942291538205,1.2214323464140946,1.3878253743149875,1.5513644332490923,1.6825142629787153,0.3879074796835938,0.3875623485527263,0.3881596908946123,0.3892946413441955,0.407659599788622,0.4440443855466074,0.47178098162151105
31,0.7180054949468931,0.8523411504999078,0.986942291538205,1.2224279169839045,1.3901483723112107,1.554882115929087,1.6784656093281551,0.39196277047128597,0.3888897759791395,0.38813977948321604,0.38458227398042877,0.3953941703685641,0.4290311813538743,0.4812521763089691
33,0.7152842687227462,0.8512128371874566,0.9874068911374496,1.2254810000646548,1.3956571961308255,1.5628466804875663,1.6865629166292755,0.3879074796835938,0.3900313635658548,0.39105348268419304,0.3809517599691887,0.38434333704367435,0.41292284953435027,0.4690730296716281
35,0.7152842687227462,0.8504827521029293,0.9860794637110364,1.2229588879544697,1.3920731420795098,1.5594617405502127,1.6797930367545684,0.3892614556585352,0.3941264771763396,0.3942459456447167,0.3815424651739425,0.3734584321470862,0.3931441808807938,0.4528385922465948
37,0.7112356150721858,0.8477615258787823,0.9845529221706613,1.2234234875537142,1.3932678267632816,1.563112165972849,1.6879567154270092,0.39196277047128597,0.39471718238109343,0.3968012434405621,0.38485439660284343,0.36545404476581467,0.37761327999175953,0.43119488805892775
39,0.7085143888480389,0.8437128722282221,0.9801724116634977,1.2177155496201377,1.3866970610025366,1.5566077715834246,1.683908061776449,0.38655350370865227,0.4028808610535345,0.4040755457373063,0.38740969439868883,0.36461112835004234,0.36003150372891685,0.4068432319213779
41,0.7071869614216257,0.8429164157723741,0.9796414406929325,1.217649178248817,1.38603334728933,1.5556785723849353,1.683908061776449,0.3933167464462275,0.40263528697964807,0.40550916735783266,0.39038976897098643,0.3622814932166872,0.34611342716297455,0.3879074796835938
43,0.7071869614216257,0.8421199593165262,0.9779821564099159,1.2150606947673113,1.3815864654108456,1.5488423211389073,1.6797930367545684,0.3906154316334766,0.40325917787006227,0.40732774293201873,0.399004772968408,0.3662571383587947,0.33824178252434434,0.36626377549592676
45,0.7071869614216257,0.841588988345961,0.977185699954068,1.2140651241975013,1.380524523469715,1.5447936674883471,1.6797930367545684,0.3879074796835938,0.4035910347266656,0.4083896848731492,0.4031928064987416,0.37091640862550496,0.3295205843328097,0.3405581433834354
47,0.7044657351974787,0.8404606750335097,0.9771193285827474,1.216122636708442,1.3843076916349926,1.5477803791977767,1.683908061776449,0.39196277047128597,0.40404899718877807,0.4083764105988851,0.4040755457373063,0.3752836448584043,0.3257374161675321,0.3324409246709187
49,0.7044657351974787,0.8413235028606783,0.9787122414944431,1.2191093484178714,1.3884890880281942,1.5493732921094727,1.6865629166292755,0.3933167464462275,0.40361094613806175,0.40845605624446985,0.4102016233102032,0.38480793664291896,0.32563122197341904,0.3216223911456512
51,0.7044657351974787,0.8408589032614338,0.9773184426967094,1.216255379451083,1.3853696335761234,1.5423379267494828,1.6757443831040082,0.3960246983961104,0.3987525617573895,0.4071219916809246,0.4152325732563092,0.39554682452260165,0.32921527602473466,0.3013260257957936
53,0.7017445089733316,0.8385359052652107,0.9755264156710516,1.2149279520246699,1.3847722912342373,1.5410104993230695,1.6689745032293006,0.39872601320886125,0.3988521188143705,0.40240962431715777,0.4181529135944182,0.4040755457373063,0.3353148050491032,0.28644556434570173
55,0.7004170815469184,0.8380049342946453,0.9759910152702962,1.216520864936366,1.3882236025429116,1.5455237525728742,1.6635984221523274,0.3946707224211689,0.3980689366327867,0.39927689559082274,0.41914184702709606,0.41162860779359745,0.3455028105468244,0.2742730548454928
57,0.7031383077710656,0.8405270464048304,0.9784467560091606,1.2186447488186267,1.3906129719104552,1.5520945183336197,1.6649258495787405,0.3906154316334766,0.3945512539527918,0.3970866403372409,0.41916175843849224,0.4176949511323057,0.36388104326551507,0.2850915883707603
59,0.7004170815469184,0.8391332476070965,0.9781812705238779,1.2205031472156054,1.393798797733847,1.558665284094365,1.6716957294534476,0.3892614556585352,0.3900910978000434,0.3940601058050189,0.4175356598411361,0.4247236793551635,0.376557975187761,0.29591675903315984
61,0.7004170815469184,0.8380049342946453,0.9759910152702962,1.215127066138632,1.3871616606017811,1.555346715528332,1.674416955677595,0.3946707224211689,0.386619875079973,0.3877282769810279,0.41639407225442077,0.42877897014285576,0.3970534546515806,0.3283856338832264
63,0.7004170815469184,0.8379385629233247,0.9760573866416168,1.216520864936366,1.3876262602010256,1.558267055866441,1.674416955677595,0.3879074796835938,0.3843300627694102,0.38325484655401554,0.4050976648556445,0.4281882649381019,0.41079232851495706,0.3378568285706845
65,0.7017445089733316,0.8384695338938899,0.9764556148695408,1.2163217508224038,1.3862988327746124,1.5580015703811583,1.683908061776449,0.3946707224211689,0.37812433955092856,0.3779318625740986,0.39774371691331545,0.42652898065508543,0.41955334952928414,0.36490979952098523
67,0.7017445089733316,0.8394651044636998,0.9779821564099159,1.2194412052744747,1.3895510299693248,1.5621829667743596,1.6906779416511566,0.3933167464462275,0.3799628265365108,0.3773146088208165,0.39104020840992887,0.4229913865636943,0.4282479991722905,0.37843628499613563
69,0.7044657351974787,0.8415226169746404,0.9797078120642531,1.2207022613295673,1.3902811150538519,1.5620502240317184,1.6933327965039828,0.3933167464462275,0.3775867314432312,0.374951788001801,0.38338758929665684,0.4159095612437799,0.43283426093054805,0.3946707224211689
71,0.7004170815469184,0.837673077438042,0.9756591584136929,1.2171845786495725,1.3878253743149875,1.5571387425539898,1.6933327965039828,0.3960246983961104,0.3811575112202827,0.3756951473605924,0.37626594115395007,0.4016994506440268,0.43487849916722443,0.4176684025837774
73,0.6976958553227715,0.8345536229859711,0.9714777620204914,1.211410269344675,1.381918322267449,1.5484440929109833,1.6852354892028623,0.39196277047128597,0.3837459947017884,0.37593408429734676,0.3730270182335019,0.38916189860155426,0.4295289666387792,0.4325488640338693
75,0.7031383077710656,0.8389341334931346,0.9747299592152036,1.2125385826571262,1.382117436381411,1.5472494082272112,1.6797930367545684,0.38655350370865227,0.38240529300111104,0.37602036708006364,0.36828810232120684,0.37678363785025126,0.4149471763596304,0.44472137353407815
77,0.7017445089733316,0.838071305665966,0.9745972164725624,1.213335039112974,1.3839758347783893,1.5522936324475818,1.6784656093281551,0.3892614556585352,0.38490085656276785,0.38164202223092347,0.36924385006822436,0.37222392464052195,0.39842734203791824,0.450137277433844
79,0.7031383077710656,0.8396642185776617,0.9765219862408614,1.2153261802525939,1.3861660900319712,1.5560104292415387,1.681186835552302,0.3892614556585352,0.3862017354406528,0.38509997067672985,0.36809562534437695,0.36362219491736447,0.3818145877963572,0.4352568159837521
81,0.7071869614216257,0.8411243887467162,0.9751945588144483,1.2094191282050553,1.3766086125617962,1.5439308396611784,1.6676470758028876,0.3906154316334766,0.3924804671675872,0.3910269341356647,0.3744141798941037,0.36202264486853664,0.3664828010212849,0.41361311179608506
83,0.7017445089733316,0.8366111354969115,0.9720751043623772,1.208290814892604,1.3761440129625517,1.5449264102309883,1.6716957294534476,0.3892614556585352,0.40010653773233096,0.39829459929527694,0.3814760938026219,0.3598191153406907,0.3513567654973066,0.3946707224211689
85,0.7057931626238919,0.8408589032614338,0.9767211003548234,1.2137996387122187,1.3817855795248077,1.5501033771939998,1.681186835552302,0.3933167464462275,0.4056883700603984,0.40390298017187265,0.38793402823212203,0.36353591213464764,0.3445935227597315,0.3743809942084434
