t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
0.008,1.6211,1.7609,1.8995,2.1413,2.3163,2.4817,2.6081,1.7593,1.7541,1.7328,1.692,1.693,1.7482,1.8086
0.012,1.6266,1.7633,1.8995,2.1377,2.3094,2.4685,2.5972,1.7648,1.7497,1.7299,1.6942,1.6876,1.7436,1.7922
0.016,1.6321,1.7693,1.9062,2.1441,2.3157,2.4794,2.6026,1.7593,1.7509,1.7366,1.6984,1.6872,1.7366,1.7977
0.02,1.6211,1.7601,1.8992,2.1409,2.3148,2.4792,2.6026,1.7593,1.7469,1.7372,1.7024,1.6906,1.7381,1.8031
0.024,1.6321,1.7688,1.9054,2.1412,2.3114,2.4753,2.5917,1.7593,1.7537,1.7463,1.7041,1.6869,1.726,1.7977
0.028,1.6266,1.7649,1.9027,2.1423,2.3144,2.4803,2.5917,1.7538,1.7494,1.736,1.7002,1.6826,1.7214,1.8031
0.032,1.6266,1.7651,1.9036,2.1434,2.3154,2.4821,2.5917,1.7593,1.7504,1.7396,1.7003,1.6816,1.7185,1.8031
0.036,1.6266,1.7639,1.9009,2.1385,2.3087,2.4741,2.5917,1.7538,1.7493,1.7396,1.7021,1.6794,1.7115,1.7812
0.04,1.6321,1.7685,1.9054,2.1432,2.3125,2.4798,2.5917,1.7428,1.749,1.7362,1.7045,1.6772,1.7085,1.7867
0.044,1.6266,1.7639,1.9012,2.1387,2.308,2.4773,2.5917,1.7483,1.7503,1.7428,1.7069,1.6785,1.6967,1.7702
0.048,1.6321,1.7695,1.9079,2.1466,2.3157,2.4863,2.5917,1.7373,1.7504,1.7485,1.7102,1.6744,1.6941,1.7812
0.052,1.6321,1.7699,1.9078,2.1457,2.3156,2.4863,2.5972,1.7428,1.7468,1.7478,1.7077,1.6793,1.6916,1.7702
0.056,1.6321,1.7701,1.9083,2.1484,2.3175,2.4887,2.6026,1.7428,1.7456,1.7448,1.7175,1.6826,1.6917,1.7648
0.06,1.6266,1.7658,1.9053,2.1471,2.3171,2.4902,2.6026,1.7373,1.7436,1.7454,1.7167,1.6786,1.6832,1.7593
0.064,1.6321,1.7692,1.9078,2.1482,2.3164,2.4872,2.6081,1.7264,1.7438,1.7455,1.7172,1.6757,1.6775,1.7428
0.068,1.6321,1.7684,1.9065,2.146,2.3153,2.4866,2.6081,1.7319,1.7493,1.7479,1.7161,1.6821,1.6743,1.7373
0.072,1.6321,1.7702,1.9084,2.1472,2.3158,2.4873,2.6081,1.7373,1.7426,1.7471,1.7138,1.6759,1.6717,1.7373
0.076,1.6375,1.7754,1.9142,2.1545,2.322,2.4942,2.6136,1.7264,1.7426,1.748,1.7148,1.6692,1.6635,1.7319
0.08,1.6266,1.7635,1.9014,2.1417,2.3084,2.4789,2.6081,1.7264,1.7434,1.7482,1.7262,1.682,1.6684,1.7154
0.084,1.6266,1.7644,1.9023,2.1432,2.3098,2.4796,2.6081,1.7319,1.7403,1.7454,1.7325,1.6874,1.6595,1.7044
0.088,1.6266,1.7657,1.9058,2.1495,2.3183,2.4913,2.6191,1.7264,1.7407,1.7435,1.7254,1.6789,1.6558,1.7099
0.092,1.6375,1.7738,1.9114,2.1518,2.3184,2.4864,2.6136,1.7209,1.7403,1.7455,1.7313,1.6888,1.6527,1.699
0.096,1.643,1.7788,1.9164,2.1568,2.324,2.4922,2.6246,1.7154,1.7381,1.7456,1.7283,1.6886,1.6579,1.6935
0.1,1.643,1.7771,1.9129,2.1503,2.3148,2.4809,2.6136,1.7154,1.7383,1.7486,1.7332,1.6898,1.6552,1.6825
0.104,1.6375,1.7735,1.9098,2.1483,2.3137,2.4792,2.6136,1.7264,1.7385,1.7452,1.7375,1.6973,1.6562,1.6715
0.108,1.6321,1.767,1.9022,2.1393,2.3042,2.4684,2.6026,1.7209,1.7357,1.7478,1.74,1.6997,1.657,1.6715
0.112,1.6321,1.7681,1.9077,2.1512,2.3218,2.4876,2.6246,1.7099,1.7401,1.7485,1.7366,1.6993,1.6451,1.6661
0.116,1.6321,1.7705,1.9099,2.1534,2.3228,2.4875,2.6246,1.7154,1.7337,1.7414,1.7424,1.7008,1.6443,1.6661
0.12,1.6321,1.7696,1.9068,2.148,2.3157,2.4773,2.6136,1.7209,1.7298,1.7443,1.7448,1.705,1.6451,1.6606
0.124,1.643,1.7788,1.9158,2.1561,2.3233,2.4871,2.6246,1.7154,1.7361,1.7474,1.7429,1.7068,1.6557,1.6551
0.128,1.6375,1.7716,1.9069,2.1443,2.3116,2.4683,2.6026,1.7099,1.731,1.7419,1.7418,1.7153,1.6505,1.6332
0.132,1.6375,1.7718,1.9079,2.1474,2.3162,2.4739,2.6081,1.7099,1.7361,1.7495,1.7463,1.7224,1.6573,1.6332
0.136,1.643,1.7777,1.9147,2.1542,2.3226,2.4773,2.6136,1.7099,1.7342,1.7417,1.7471,1.7192,1.6465,1.6332
0.14,1.6321,1.7689,1.907,2.149,2.3201,2.4806,2.6136,1.7099,1.7301,1.7392,1.7483,1.7249,1.6604,1.6222
0.144,1.6375,1.7744,1.9109,2.1509,2.3203,2.4748,2.6081,1.7209,1.7289,1.7425,1.7462,1.7261,1.6522,1.6222
0.148,1.6375,1.7721,1.9081,2.1459,2.3146,2.4685,2.5972,1.7099,1.73,1.739,1.7567,1.7364,1.6646,1.6222
0.152,1.6375,1.7743,1.9114,2.1513,2.3214,2.4771,2.6081,1.7154,1.7287,1.7376,1.7537,1.7316,1.6622,1.6222
0.156,1.643,1.7775,1.9143,2.153,2.3217,2.4799,2.6081,1.7099,1.735,1.7406,1.7578,1.7347,1.6701,1.6222
0.16,1.6375,1.7738,1.9105,2.1495,2.3197,2.4772,2.6026,1.7154,1.7293,1.7383,1.7568,1.742,1.6773,1.6222
0.164,1.6375,1.7755,1.9137,2.1556,2.3272,2.4835,2.6081,1.7154,1.7281,1.7383,1.7548,1.7441,1.6718,1.6112
0.168,1.6321,1.7697,1.9075,2.1479,2.3199,2.4764,2.5972,1.7209,1.7272,1.7323,1.7542,1.7511,1.6833,1.6167
0.172,1.6375,1.7752,1.9136,2.1546,2.3268,2.4813,2.5972,1.7154,1.7296,1.7314,1.7554,1.7528,1.6816,1.6057
0.176,1.6375,1.7757,1.9143,2.1562,2.3291,2.4858,2.6081,1.7154,1.7275,1.7347,1.7535,1.7512,1.6822,1.6167
0.18,1.6375,1.775,1.9135,2.1541,2.3266,2.4848,2.5972,1.7154,1.7305,1.732,1.7561,1.7545,1.692,1.6112
0.184,1.6321,1.77,1.9087,2.1509,2.3241,2.4824,2.5972,1.7154,1.7301,1.735,1.7538,1.7607,1.7005,1.6222
0.188,1.6375,1.7753,1.9135,2.1542,2.3264,2.4882,2.5972,1.7264,1.7347,1.7292,1.7511,1.7628,1.7123,1.6277
0.192,1.643,1.78,1.9175,2.157,2.3279,2.4902,2.5972,1.7154,1.7275,1.7315,1.7498,1.767,1.7193,1.6332
0.196,1.6375,1.775,1.9125,2.1518,2.3221,2.4878,2.5917,1.7264,1.7304,1.7319,1.7517,1.7675,1.7273,1.6386
0.2,1.6375,1.7751,1.9138,2.1557,2.3286,2.4953,2.5972,1.7209,1.7331,1.7292,1.7502,1.763,1.7257,1.6332
0.204,1.643,1.7802,1.9184,2.159,2.3306,2.4983,2.6026,1.7209,1.7286,1.7264,1.7479,1.7623,1.7272,1.6386
0.208,1.6375,1.7747,1.9118,2.151,2.3206,2.4878,2.5862,1.7319,1.7319,1.7268,1.7453,1.7687,1.7383,1.6441
0.212,1.6375,1.7746,1.9126,2.1528,2.3232,2.494,2.5917,1.7209,1.7311,1.7291,1.743,1.7686,1.75,1.6551
0.216,1.643,1.7827,1.9227,2.1663,2.3393,2.5108,2.6081,1.7373,1.7289,1.7256,1.744,1.7696,1.7473,1.6496
0.22,1.6485,1.7844,1.9204,2.1571,2.3249,2.4931,2.5972,1.7319,1.7267,1.7232,1.7447,1.7726,1.7561,1.6715
0.224,1.643,1.7795,1.9168,2.1559,2.3237,2.493,2.6026,1.7428,1.7295,1.7236,1.7439,1.7778,1.7566,1.677
0.228,1.643,1.7808,1.9189,2.1591,2.3295,2.5007,2.6191,1.7428,1.7335,1.7282,1.744,1.7715,1.7589,1.688
