t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
0.232,1.643,1.782,1.9209,2.1628,2.3338,2.5064,2.6246,1.7319,1.7294,1.7188,1.7444,1.7773,1.7649,1.6935
0.236,1.6485,1.7845,1.9204,2.1575,2.325,2.4938,2.6081,1.7373,1.7349,1.7256,1.7414,1.7728,1.7713,1.699
0.24,1.643,1.78,1.9173,2.1569,2.3257,2.4967,2.6191,1.7483,1.7372,1.7312,1.7364,1.7679,1.7749,1.7154
0.244,1.643,1.7809,1.919,2.1596,2.3284,2.4999,2.6191,1.7428,1.7336,1.7276,1.7358,1.7723,1.7834,1.7154
0.248,1.6321,1.7716,1.9107,2.1543,2.3238,2.4964,2.6191,1.7373,1.7366,1.7235,1.7265,1.768,1.7826,1.7209
0.252,1.6375,1.7766,1.9154,2.1578,2.3277,2.5004,2.6246,1.7428,1.7427,1.7315,1.7332,1.7708,1.7897,1.7319
0.256,1.6375,1.7757,1.9135,2.1559,2.3257,2.4958,2.6246,1.7483,1.7451,1.7295,1.7289,1.7648,1.7912,1.7428
0.26,1.6375,1.7758,1.9141,2.1566,2.3269,2.4979,2.6301,1.7538,1.7402,1.7262,1.7285,1.7629,1.7921,1.7538
0.264,1.643,1.7802,1.917,2.1573,2.3255,2.4948,2.6246,1.7428,1.739,1.7249,1.7307,1.7664,1.7908,1.7483
0.268,1.6375,1.776,1.9142,2.1573,2.3273,2.4947,2.6301,1.7428,1.7373,1.7224,1.7227,1.7576,1.7968,1.7702
0.272,1.6375,1.7764,1.9151,2.1584,2.3292,2.4988,2.6355,1.7483,1.742,1.7314,1.7282,1.7583,1.7929,1.7702
0.276,1.6485,1.7855,1.9221,2.1624,2.3296,2.4959,2.6301,1.7538,1.7413,1.7254,1.7214,1.7596,1.8004,1.7757
0.28,1.6485,1.7846,1.92,2.1578,2.3251,2.4896,2.6246,1.7538,1.7468,1.7306,1.7229,1.754,1.7974,1.7812
0.284,1.643,1.7806,1.9181,2.1589,2.3275,2.4935,2.6301,1.7538,1.7431,1.7311,1.7154,1.7486,1.7954,1.7812
0.288,1.6375,1.7748,1.9128,2.155,2.3258,2.4919,2.6301,1.7702,1.749,1.7326,1.7214,1.7505,1.8008,1.7922
0.292,1.643,1.78,1.9166,2.1571,2.3263,2.4884,2.6246,1.7593,1.7445,1.7267,1.714,1.7435,1.8014,1.7867
0.296,1.643,1.7794,1.9154,2.1534,2.3219,2.4829,2.6191,1.7538,1.7524,1.7387,1.7174,1.7369,1.793,1.8031
0.3,1.643,1.7814,1.9188,2.1599,2.3305,2.4916,2.6301,1.7538,1.7505,1.7333,1.7142,1.7368,1.7994,1.8031
0.304,1.6485,1.7849,1.9201,2.1589,2.328,2.4886,2.6246,1.7538,1.7494,1.7291,1.7145,1.7354,1.7938,1.8086
0.308,1.643,1.7791,1.9156,2.1547,2.3251,2.4841,2.6191,1.7648,1.7478,1.7351,1.7172,1.7304,1.7933,1.8141
0.312,1.6375,1.7775,1.9169,2.1611,2.3351,2.4967,2.6355,1.7593,1.7509,1.7347,1.7114,1.729,1.795,1.8141
0.316,1.643,1.7822,1.921,2.1641,2.3363,2.4975,2.6355,1.7538,1.748,1.7339,1.712,1.7307,1.7957,1.8141
0.32,1.643,1.7805,1.9172,2.1575,2.3289,2.4913,2.6246,1.7538,1.752,1.7341,1.7144,1.7281,1.7853,1.8196
0.324,1.643,1.7808,1.9183,2.1578,2.3293,2.4916,2.6246,1.7538,1.7498,1.7399,1.7101,1.7252,1.783,1.8196
0.328,1.6485,1.7839,1.919,2.1553,2.3243,2.4828,2.6136,1.7483,1.7513,1.7362,1.7091,1.7255,1.7831,1.8196
0.332,1.643,1.78,1.9169,2.1549,2.3268,2.4871,2.6136,1.7483,1.7532,1.7414,1.7075,1.7108,1.7715,1.8251
0.336,1.643,1.7804,1.9176,2.1577,2.3302,2.4879,2.6191,1.7593,1.7488,1.735,1.7108,1.7129,1.7776,1.8196
0.34,1.6375,1.7759,1.914,2.1545,2.3275,2.4895,2.6191,1.7593,1.7527,1.741,1.7118,1.7139,1.7706,1.8196
0.344,1.643,1.7802,1.9176,2.1577,2.3301,2.4879,2.6136,1.7538,1.7548,1.7401,1.7112,1.7035,1.7677,1.8251
0.348,1.6375,1.7738,1.91,2.1472,2.3177,2.4794,2.6026,1.7483,1.7476,1.7384,1.7105,1.7042,1.7555,1.8141
0.352,1.6485,1.7845,1.9206,2.1567,2.3267,2.4869,2.6081,1.7483,1.7547,1.748,1.7135,1.707,1.7573,1.8196
0.356,1.6485,1.7851,1.9222,2.1604,2.3319,2.4973,2.6136,1.7483,1.7584,1.7466,1.7128,1.7039,1.746,1.8196
0.36,1.643,1.7823,1.9225,2.1651,2.3398,2.5054,2.6301,1.7428,1.7553,1.7502,1.7138,1.7064,1.7555,1.8196
0.364,1.643,1.78,1.9188,2.1601,2.3325,2.5001,2.6136,1.7373,1.7553,1.7496,1.7199,1.7003,1.7407,1.8196
0.368,1.654,1.7897,1.9261,2.1617,2.3308,2.4915,2.6081,1.7428,1.7538,1.7526,1.7154,1.6955,1.7384,1.8086
0.372,1.643,1.7811,1.9202,2.1615,2.3345,2.5031,2.6081,1.7428,1.7548,1.7489,1.7154,1.698,1.7309,1.8196
0.376,1.643,1.7808,1.9195,2.1596,2.332,2.5006,2.6081,1.7428,1.7551,1.7525,1.7175,1.6993,1.7335,1.8196
0.38,1.643,1.7807,1.9187,2.1579,2.3294,2.498,2.6081,1.7428,1.7515,1.751,1.7174,1.6987,1.7218,1.8031
0.384,1.6485,1.7858,1.9234,2.1613,2.3318,2.4998,2.6136,1.7428,1.7499,1.7502,1.7157,1.6943,1.7229,1.7977
0.388,1.654,1.7892,1.9281,2.1688,2.3402,2.5101,2.6136,1.7319,1.7565,1.7558,1.7217,1.6944,1.715,1.8031
0.392,1.654,1.7901,1.927,2.1647,2.3328,2.5009,2.6136,1.7373,1.7498,1.7508,1.725,1.694,1.7129,1.7867
0.396,1.654,1.7882,1.9239,2.1601,2.3272,2.4962,2.6081,1.7319,1.7492,1.7519,1.7262,1.6965,1.7031,1.7757
0.4,1.6485,1.7842,1.9203,2.1573,2.3245,2.4924,2.6081,1.7319,1.7461,1.7538,1.7272,1.6935,1.7037,1.7702
0.404,1.6485,1.7842,1.9206,2.158,2.3255,2.4952,2.6191,1.7319,1.7467,1.75,1.723,1.6905,1.698,1.7538
0.408,1.643,1.7825,1.922,2.1658,2.3369,2.5099,2.6301,1.7373,1.7428,1.7503,1.7326,1.6976,1.6937,1.7648
0.412,1.643,1.7825,1.9225,2.166,2.3361,2.5099,2.6355,1.7319,1.7472,1.7544,1.7316,1.6892,1.6926,1.7538
0.416,1.6485,1.7845,1.9213,2.1602,2.3266,2.4971,2.6246,1.7319,1.7478,1.7544,1.7394,1.6995,1.6895,1.7373
0.42,1.654,1.789,1.9278,2.1698,2.3389,2.5112,2.6355,1.7209,1.748,1.7509,1.7311,1.6928,1.6832,1.7428
0.424,1.6485,1.7858,1.9241,2.1657,2.3345,2.5061,2.6301,1.7264,1.7456,1.7555,1.7388,1.6999,1.6781,1.7373
0.428,1.6485,1.782,1.9186,2.1567,2.3215,2.4905,2.6191,1.7154,1.7428,1.7494,1.7438,1.6993,1.6775,1.7209
0.432,1.654,1.7893,1.9259,2.1644,2.3301,2.4998,2.6301,1.7209,1.7411,1.7503,1.7352,1.6928,1.6717,1.7099
0.436,1.654,1.789,1.9248,2.1623,2.3273,2.4946,2.6246,1.7209,1.7406,1.753,1.7456,1.7032,1.6725,1.7099
0.44,1.654,1.7908,1.9291,2.1712,2.3394,2.5094,2.641,1.7209,1.7437,1.755,1.7441,1.7031,1.6703,1.7099
0.444,1.654,1.787,1.9225,2.1596,2.3236,2.4894,2.6246,1.7209,1.7466,1.7538,1.7424,1.7044,1.6717,1.6825
0.448,1.6375,1.7743,1.9117,2.1543,2.3229,2.4926,2.6301,1.7154,1.7393,1.7583,1.7508,1.711,1.6771,1.6935
0.452,1.6485,1.7848,1.9225,2.1642,2.333,2.4994,2.6355,1.7154,1.7388,1.7515,1.7475,1.7109,1.6643,1.6825
0.456,1.654,1.7881,1.9245,2.1636,2.3317,2.4946,2.6301,1.7154,1.7419,1.7529,1.7447,1.7146,1.6625,1.6715
0.46,1.6485,1.7848,1.9212,2.1612,2.3305,2.4941,2.6301,1.7209,1.7366,1.7513,1.7493,1.7232,1.6723,1.677
0.464,1.643,1.7793,1.9162,2.156,2.3249,2.488,2.6246,1.7209,1.7365,1.7466,1.7502,1.7211,1.6678,1.6715
0.468,1.6485,1.7854,1.9233,2.1652,2.3346,2.4975,2.6355,1.7209,1.7406,1.7521,1.75,1.7179,1.6633,1.6715
0.472,1.6485,1.7845,1.9215,2.1611,2.3292,2.4935,2.6301,1.7154,1.7324,1.7417,1.755,1.7227,1.6738,1.6606
0.476,1.6485,1.7842,1.9221,2.1639,2.3339,2.4973,2.6355,1.7099,1.7369,1.7488,1.7546,1.7252,1.6688,1.6661
0.48,1.654,1.7877,1.923,2.1603,2.328,2.485,2.6191,1.7154,1.7376,1.7468,1.753,1.7303,1.6675,1.6496
0.484,1.6485,1.7852,1.9236,2.166,2.338,2.501,2.6355,1.7154,1.738,1.7469,1.7531,1.735,1.677,1.6441
0.488,1.654,1.7869,1.9208,2.1559,2.3229,2.4794,2.6081,1.7154,1.735,1.747,1.754,1.7407,1.6806,1.6441
0.492,1.654,1.7885,1.9247,2.1634,2.3328,2.4931,2.6246,1.7099,1.7336,1.7454,1.7608,1.7393,1.6812,1.6441
0.496,1.6485,1.7854,1.9226,2.1624,2.3335,2.4931,2.6246,1.7209,1.7313,1.7396,1.7556,1.7411,1.6781,1.6386
0.5,1.643,1.7815,1.9197,2.1628,2.336,2.4955,2.6246,1.7154,1.7292,1.7448,1.7592,1.7479,1.6799,1.6277
0.504,1.6485,1.7853,1.9236,2.1651,2.337,2.4995,2.6301,1.7154,1.734,1.7386,1.7556,1.7437,1.6844,1.6386
0.508,1.6485,1.785,1.9213,2.1596,2.3299,2.4903,2.6136,1.7209,1.7299,1.7411,1.7626,1.7552,1.6978,1.6386
0.512,1.654,1.7913,1.9305,2.1728,2.3469,2.5049,2.6301,1.7154,1.7346,1.7363,1.7631,1.7598,1.689,1.6277
0.516,1.6485,1.7852,1.9239,2.1651,2.3383,2.4971,2.6246,1.7154,1.7349,1.7353,1.7604,1.7596,1.6931,1.6386
0.52,1.654,1.7902,1.9273,2.1662,2.337,2.4972,2.6191,1.7154,1.7318,1.74,1.7651,1.7621,1.7018,1.6386
0.524,1.6485,1.7852,1.9224,2.1605,2.3318,2.4929,2.6136,1.7209,1.729,1.7303,1.7609,1.762,1.7092,1.6441
0.528,1.654,1.7907,1.928,2.1665,2.3379,2.4965,2.6081,1.7209,1.7331,1.7352,1.7641,1.767,1.7129,1.6332
0.532,1.6485,1.7867,1.925,2.1658,2.3381,2.5015,2.6191,1.7319,1.7323,1.7353,1.7588,1.7689,1.722,1.6496
0.536,1.6485,1.7839,1.9206,2.1587,2.3288,2.4925,2.6026,1.7209,1.7345,1.7352,1.7577,1.7741,1.7352,1.6551
0.54,1.654,1.7904,1.9275,2.1665,2.3373,2.5,2.6136,1.7264,1.7369,1.7347,1.7544,1.7667,1.7255,1.6496
0.544,1.654,1.7922,1.9314,2.1733,2.3468,2.5131,2.6191,1.7264,1.7394,1.7403,1.7673,1.7802,1.7335,1.6441
0.548,1.6485,1.7879,1.9272,2.1702,2.3436,2.5123,2.6191,1.7428,1.7418,1.7348,1.756,1.7723,1.739,1.6496
0.552,1.6485,1.7877,1.9269,2.1691,2.3417,2.5118,2.6081,1.7428,1.7392,1.7351,1.7589,1.7811,1.7544,1.6551
0.556,1.654,1.7916,1.9292,2.1684,2.3388,2.5079,2.6081,1.7428,1.7345,1.7281,1.7556,1.7806,1.7536,1.6606
0.56,1.6485,1.7865,1.9244,2.1643,2.3347,2.5049,2.6081,1.7428,1.7378,1.7287,1.7506,1.7777,1.7557,1.6661
0.564,1.654,1.7905,1.9272,2.1652,2.3318,2.4991,2.6081,1.7428,1.7367,1.7303,1.7409,1.779,1.7632,1.6825
0.568,1.643,1.7822,1.9214,2.1637,2.3341,2.507,2.6191,1.7428,1.7381,1.7351,1.7462,1.7815,1.7676,1.688
0.572,1.6595,1.7963,1.9333,2.172,2.3397,2.5088,2.6136,1.7428,1.7426,1.7336,1.746,1.7821,1.7718,1.688
0.576,1.654,1.7915,1.9291,2.1699,2.3393,2.5106,2.6301,1.7373,1.7409,1.7295,1.7444,1.7777,1.7664,1.699
0.58,1.6485,1.7864,1.9244,2.1643,2.3321,2.5037,2.6191,1.7483,1.7396,1.7317,1.7399,1.781,1.78,1.7099
0.584,1.654,1.7914,1.9287,2.1691,2.3373,2.5089,2.6301,1.7593,1.7479,1.7353,1.742,1.7795,1.7835,1.7209
0.588,1.654,1.7903,1.9267,2.165,2.3323,2.5029,2.6301,1.7593,1.7437,1.73,1.7391,1.7765,1.7806,1.7319
0.592,1.6485,1.7862,1.9246,2.1679,2.3374,2.5102,2.6355,1.7702,1.7488,1.7339,1.7375,1.7779,1.7892,1.7319
0.596,1.6595,1.7966,1.9341,2.1748,2.3434,2.5141,2.641,1.7593,1.745,1.7345,1.7377,1.7733,1.792,1.7428
0.6,1.654,1.7906,1.9266,2.1662,2.3329,2.5021,2.6246,1.7648,1.7528,1.7346,1.7351,1.7748,1.7977,1.7428
0.604,1.6485,1.7882,1.9276,2.1724,2.3422,2.5155,2.6465,1.7538,1.7474,1.7338,1.7369,1.7776,1.7952,1.7483
0.608,1.654,1.7923,1.9303,2.1731,2.3421,2.5137,2.641,1.7593,1.7475,1.7312,1.7327,1.7714,1.7976,1.7483
0.612,1.654,1.7904,1.9287,2.1706,2.3399,2.5082,2.641,1.7702,1.7468,1.7375,1.7294,1.7634,1.8031,1.7702
0.616,1.6485,1.7849,1.9214,2.161,2.3291,2.496,2.6301,1.7648,1.7506,1.7363,1.7288,1.7614,1.8001,1.7757
0.62,1.665,1.8009,1.9365,2.1751,2.3428,2.5087,2.641,1.7648,1.7518,1.7355,1.7311,1.7626,1.802,1.7757
0.624,1.6595,1.7947,1.9294,2.1663,2.334,2.4955,2.6301,1.7648,1.7555,1.7376,1.7245,1.7497,1.8025,1.7922
0.628,1.6485,1.7868,1.9248,2.1667,2.3364,2.5029,2.641,1.7648,1.755,1.741,1.7274,1.7564,1.803,1.7922
0.632,1.654,1.7921,1.9296,2.1725,2.3425,2.5057,2.641,1.7648,1.7515,1.7319,1.7215,1.7482,1.8032,1.7757
0.636,1.6595,1.7956,1.9309,2.1693,2.3387,2.4991,2.6355,1.7593,1.7568,1.7387,1.7284,1.7468,1.8028,1.8031
0.64,1.654,1.7926,1.9309,2.1732,2.3445,2.504,2.641,1.7648,1.7587,1.7433,1.7226,1.7439,1.811,1.7922
0.644,1.654,1.7893,1.9243,2.1593,2.3275,2.4845,2.6191,1.7648,1.759,1.7467,1.7204,1.7368,1.7991,1.8141
0.648,1.6485,1.7866,1.9249,2.1665,2.3386,2.4969,2.6355,1.7648,1.7535,1.7443,1.7243,1.7409,1.8078,1.8086
0.652,1.6485,1.7878,1.9269,2.1693,2.343,2.5022,2.641,1.7593,1.7613,1.7504,1.723,1.7336,1.8016,1.8141
0.656,1.6595,1.796,1.9321,2.1697,2.3396,2.4967,2.6301,1.7648,1.7584,1.747,1.7195,1.7314,1.7964,1.8251
0.66,1.6595,1.7951,1.9301,2.1677,2.3374,2.4921,2.6246,1.7593,1.7559,1.7405,1.723,1.7272,1.794,1.8196
0.664,1.6595,1.7958,1.9323,2.1704,2.3415,2.4979,2.6301,1.7538,1.7622,1.7519,1.7254,1.7238,1.7899,1.8251
0.668,1.654,1.7907,1.9276,2.1653,2.3363,2.4926,2.6246,1.7538,1.7536,1.7473,1.7194,1.7191,1.784,1.8196
0.672,1.654,1.7935,1.9331,2.1751,2.3496,2.5103,2.6355,1.7593,1.7562,1.7517,1.7174,1.7189,1.7797,1.8415
0.676,1.6595,1.7952,1.931,2.166,2.3356,2.4929,2.6136,1.7483,1.7511,1.75,1.7155,1.7123,1.7684,1.8306
0.68,1.6595,1.796,1.933,2.1694,2.34,2.4975,2.6191,1.7593,1.7551,1.756,1.7173,1.7111,1.7729,1.836
0.684,1.6595,1.7954,1.9314,2.1669,2.3366,2.5008,2.6081,1.7538,1.7537,1.7522,1.7181,1.7133,1.7532,1.836
0.688,1.665,1.801,1.9373,2.1734,2.3432,2.5051,2.6136,1.7483,1.7549,1.7555,1.7226,1.7102,1.7551,1.836
0.692,1.665,1.7996,1.936,2.1729,2.3422,2.5069,2.6081,1.7373,1.7603,1.7625,1.7295,1.7087,1.7458,1.836
0.696,1.6595,1.7937,1.9306,2.168,2.3377,2.5014,2.6081,1.7319,1.755,1.7538,1.7261,1.7078,1.7463,1.8306
0.7,1.6595,1.7961,1.9334,2.1717,2.3418,2.5079,2.6081,1.7428,1.7544,1.7561,1.7282,1.706,1.7393,1.8306
0.704,1.665,1.8001,1.9377,2.1769,2.3462,2.5124,2.6191,1.7319,1.7552,1.756,1.7292,1.6991,1.7393,1.8251
0.708,1.654,1.7917,1.9296,2.1697,2.3408,2.5106,2.6136,1.7373,1.7529,1.7637,1.7318,1.7044,1.7224,1.8141
0.712,1.6595,1.7942,1.9306,2.1679,2.3357,2.504,2.6136,1.7264,1.7474,1.7518,1.7316,1.7008,1.7122,1.7922
0.716,1.6595,1.7944,1.9322,2.1731,2.3433,2.5148,2.6191,1.7209,1.7505,1.7602,1.7405,1.7108,1.7149,1.8031
0.72,1.665,1.8,1.9363,2.1743,2.3411,2.5103,2.6246,1.7319,1.7525,1.7619,1.7456,1.7085,1.7122,1.7867
0.724,1.654,1.7923,1.93,2.172,2.3417,2.5125,2.6301,1.7319,1.7426,1.7592,1.7413,1.7048,1.7099,1.7757
0.728,1.6595,1.7975,1.9369,2.1801,2.3505,2.5241,2.6465,1.7264,1.7471,1.7561,1.743,1.705,1.7045,1.7702
0.732,1.6485,1.7852,1.9239,2.1666,2.3366,2.5091,2.6246,1.7154,1.7406,1.7534,1.746,1.708,1.6907,1.7648
0.736,1.654,1.7879,1.9261,2.1673,2.3367,2.5083,2.6355,1.7099,1.7437,1.7571,1.75,1.7125,1.69,1.7428
0.74,1.665,1.8008,1.9378,2.1773,2.3445,2.5144,2.6465,1.7264,1.7466,1.7561,1.7512,1.7135,1.6959,1.7319
0.744,1.6595,1.7959,1.9335,2.1757,2.3454,2.5174,2.641,1.7099,1.7383,1.7596,1.7513,1.7119,1.6849,1.7428
0.748,1.665,1.7996,1.9376,2.1806,2.3484,2.5199,2.652,1.7044,1.7396,1.7585,1.757,1.7118,1.6853,1.7264
0.752,1.6595,1.7948,1.9316,2.1731,2.3411,2.5102,2.641,1.7154,1.7441,1.7633,1.7541,1.7143,1.6802,1.7209
0.756,1.654,1.7897,1.9264,2.1665,2.3358,2.5041,2.641,1.7154,1.7403,1.7586,1.7617,1.7289,1.6917,1.7044
0.76,1.6595,1.7895,1.9256,2.164,2.3321,2.4955,2.6301,1.699,1.7394,1.7523,1.7623,1.7347,1.686,1.7044
0.764,1.654,1.7876,1.9238,2.1644,2.3333,2.497,2.6301,1.7044,1.7376,1.7572,1.7631,1.7323,1.6796,1.7044
0.768,1.654,1.7902,1.9247,2.1648,2.3339,2.4982,2.6355,1.7154,1.7274,1.7559,1.761,1.7336,1.6836,1.688
