t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
0.44,0.87349,1.01,1.147,1.3873,1.5552,1.7255,1.8528,0.92647,0.90848,0.89276,0.90541,0.94459,0.96968,0.92174
0.45,0.87822,1.0142,1.1492,1.3879,1.5537,1.7198,1.8528,0.92647,0.91499,0.89344,0.89451,0.93486,0.97223,0.9454
0.46,0.87822,1.0126,1.146,1.3824,1.5479,1.7072,1.8386,0.9312,0.91862,0.89703,0.89268,0.92436,0.9808,0.95959
0.47,0.87822,1.0137,1.1487,1.3878,1.5567,1.7157,1.8528,0.94066,0.91983,0.89502,0.88481,0.9126,0.97537,0.97851
0.48,0.87822,1.0148,1.1515,1.393,1.5643,1.7204,1.8575,0.9454,0.92349,0.90131,0.88277,0.90159,0.97474,0.99271
0.49,0.87822,1.0168,1.1546,1.3959,1.5684,1.7245,1.8623,0.94066,0.92883,0.90949,0.88107,0.89683,0.97212,0.98797
0.5,0.87822,1.0165,1.1543,1.395,1.5676,1.7227,1.8528,0.93593,0.92797,0.91241,0.88291,0.88637,0.95915,1.0069
0.51,0.87822,1.0152,1.1522,1.3907,1.5621,1.7215,1.8433,0.93593,0.92638,0.91393,0.8819,0.8731,0.92893,0.99271
0.52,0.87822,1.0181,1.1578,1.4007,1.5748,1.7429,1.8433,0.9312,0.92781,0.91844,0.88729,0.86975,0.91124,1.0069
0.53,0.88295,1.019,1.1552,1.392,1.5609,1.7281,1.8339,0.92174,0.92626,0.92114,0.89084,0.86843,0.89407,0.97851
0.54,0.88295,1.0201,1.1584,1.3975,1.5683,1.74,1.8575,0.90755,0.92317,0.92521,0.88923,0.86316,0.87866,0.95013
0.55,0.88768,1.0233,1.1601,1.3975,1.5655,1.7354,1.8528,0.90755,0.92414,0.92626,0.89784,0.86567,0.86103,0.92647
0.56,0.87349,1.0136,1.155,1.4006,1.5722,1.7475,1.867,0.90282,0.92071,0.92398,0.89795,0.85556,0.84877,0.91701
0.57,0.87822,1.0156,1.1533,1.3941,1.5615,1.7316,1.8623,0.91228,0.91322,0.91749,0.90879,0.86963,0.84436,0.88389
0.58,0.88295,1.0159,1.1531,1.3932,1.5601,1.7258,1.8575,0.88389,0.91698,0.92576,0.91966,0.88228,0.83731,0.86497
0.59,0.88295,1.0193,1.1563,1.3964,1.5644,1.7302,1.867,0.89336,0.90907,0.91924,0.92043,0.88768,0.84349,0.85078
0.6,0.87822,1.0136,1.1511,1.391,1.5594,1.722,1.8575,0.88862,0.91002,0.91239,0.92743,0.89742,0.84259,0.82239
0.61,0.87349,1.009,1.1457,1.3837,1.5527,1.7108,1.8433,0.89336,0.90742,0.91122,0.93465,0.91144,0.8486,0.81766
0.62,0.88295,1.0179,1.1537,1.3901,1.5595,1.7168,1.8433,0.89809,0.90496,0.90785,0.93315,0.92149,0.86064,0.81293
