t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
0.008,1.0095,1.1493,1.289,1.5316,1.7045,1.8781,1.9831,1.4431,1.4403,1.4364,1.4663,1.4909,1.4761,1.3867
0.012,1.0095,1.1493,1.2891,1.5318,1.7032,1.876,1.9878,1.4431,1.44,1.4363,1.4609,1.4955,1.4773,1.3961
0.016,1.0095,1.15,1.2905,1.535,1.7068,1.8819,1.9878,1.4431,1.4379,1.4339,1.4557,1.4928,1.4896,1.4008
0.02,1.0189,1.1574,1.296,1.5371,1.7068,1.8788,1.9925,1.4431,1.4399,1.4361,1.457,1.4922,1.4891,1.4149
0.024,1.0142,1.1529,1.2915,1.5339,1.703,1.8758,1.9925,1.4525,1.4437,1.4338,1.4513,1.4911,1.4983,1.429
0.028,1.0189,1.1588,1.2984,1.5424,1.7125,1.8864,2.0019,1.4431,1.4436,1.4316,1.4518,1.494,1.5056,1.4337
0.032,1.0236,1.1623,1.301,1.5437,1.7113,1.8822,2.0066,1.4431,1.4421,1.4361,1.4452,1.4904,1.5101,1.4525
0.036,1.0283,1.1675,1.3068,1.5506,1.7198,1.8907,2.0113,1.4384,1.4409,1.4315,1.444,1.4857,1.5135,1.4525
0.04,1.0236,1.1635,1.3034,1.5479,1.7183,1.8889,2.016,1.4431,1.4429,1.438,1.4425,1.4816,1.5199,1.4714
0.044,1.0283,1.167,1.3055,1.5482,1.7175,1.886,2.016,1.4431,1.4404,1.4314,1.4402,1.4769,1.5148,1.4761
0.048,1.0236,1.1626,1.3018,1.546,1.7161,1.8833,2.016,1.4384,1.4453,1.4364,1.4374,1.4741,1.5207,1.4855
0.052,1.033,1.1726,1.3122,1.5566,1.7268,1.8937,2.0301,1.4431,1.4388,1.4336,1.4347,1.4716,1.522,1.4996
0.056,1.033,1.1719,1.3109,1.5538,1.7243,1.8877,2.0254,1.4431,1.4431,1.4391,1.4358,1.4667,1.5256,1.5137
0.06,1.033,1.1728,1.3126,1.5572,1.7295,1.8912,2.0301,1.4431,1.4428,1.4384,1.4343,1.4607,1.5265,1.5184
0.064,1.033,1.1715,1.3105,1.5538,1.7253,1.8865,2.0254,1.4478,1.4372,1.4383,1.4356,1.4583,1.5221,1.5278
0.068,1.0424,1.181,1.3197,1.5622,1.7339,1.8917,2.0301,1.4384,1.4408,1.4385,1.4331,1.4537,1.5239,1.5231
0.072,1.0377,1.1754,1.3144,1.5576,1.7303,1.8894,2.0254,1.429,1.4431,1.4412,1.43,1.4462,1.5146,1.5419
0.076,1.0377,1.1777,1.3177,1.5627,1.7377,1.8961,2.0301,1.4384,1.4389,1.4407,1.434,1.4414,1.5119,1.5513
0.08,1.0377,1.1758,1.3146,1.5573,1.7307,1.893,2.0207,1.4337,1.4419,1.4408,1.4349,1.4373,1.4954,1.5466
0.084,1.0471,1.1833,1.3206,1.5607,1.732,1.8921,2.0207,1.4243,1.4385,1.4404,1.4325,1.4341,1.492,1.5372
0.088,1.0565,1.192,1.328,1.5661,1.7361,1.8966,2.016,1.429,1.44,1.4455,1.437,1.4344,1.4812,1.5466
0.092,1.0518,1.1869,1.3227,1.5602,1.7298,1.8955,2.0066,1.4243,1.4366,1.4408,1.4347,1.4317,1.4648,1.5419
0.096,1.0471,1.1857,1.3248,1.5684,1.7423,1.9111,2.0254,1.4243,1.4354,1.4408,1.4333,1.429,1.4679,1.5466
0.1,1.0565,1.1938,1.3318,1.5735,1.746,1.915,2.0254,1.4196,1.4337,1.4404,1.4377,1.4324,1.4602,1.5419
0.104,1.0518,1.1905,1.3296,1.5734,1.7473,1.9193,2.0348,1.4196,1.4308,1.4406,1.4399,1.4274,1.4514,1.5278
0.108,1.0565,1.1951,1.3345,1.5789,1.7531,1.9263,2.0395,1.4149,1.4322,1.4407,1.4386,1.4271,1.4453,1.5231
0.112,1.0612,1.1983,1.3356,1.576,1.7474,1.9182,2.0301,1.4196,1.4313,1.4392,1.441,1.4262,1.4374,1.5137
0.116,1.0565,1.1931,1.33,1.57,1.741,1.9114,2.0348,1.4149,1.4288,1.4391,1.4448,1.4303,1.4388,1.4902
0.12,1.0659,1.2023,1.3392,1.5785,1.7492,1.9197,2.0442,1.4102,1.4249,1.4342,1.4462,1.4291,1.4204,1.4761
0.124,1.0612,1.1996,1.3384,1.581,1.7541,1.9273,2.0536,1.4149,1.427,1.4346,1.443,1.4283,1.4261,1.4808
0.128,1.0706,1.2079,1.3459,1.587,1.7587,1.9311,2.0583,1.4102,1.4255,1.4346,1.4485,1.4295,1.4184,1.4619
0.132,1.0753,1.2123,1.3496,1.5895,1.7607,1.9308,2.0583,1.4149,1.4257,1.4301,1.4479,1.4371,1.4151,1.4572
0.136,1.0706,1.2069,1.3441,1.5842,1.7557,1.9252,2.0583,1.4055,1.4231,1.4315,1.4462,1.4382,1.4104,1.4337
0.14,1.0706,1.2075,1.345,1.5853,1.757,1.9273,2.063,1.4102,1.4242,1.429,1.4446,1.4352,1.411,1.4243
0.144,1.0753,1.2119,1.3491,1.5879,1.7591,1.9279,2.0583,1.4102,1.4219,1.4252,1.4505,1.4406,1.4102,1.4384
0.148,1.0753,1.2107,1.3464,1.5826,1.7522,1.9193,2.0536,1.4102,1.4211,1.4241,1.4499,1.4445,1.417,1.4008
0.152,1.0753,1.2125,1.3506,1.5909,1.7632,1.9309,2.0677,1.4149,1.427,1.4283,1.4503,1.4509,1.413,1.4055
0.156,1.0753,1.2128,1.3512,1.5928,1.7653,1.932,2.0677,1.4102,1.4244,1.4247,1.4422,1.4547,1.415,1.3914
0.16,1.08,1.2164,1.3535,1.5924,1.7635,1.9295,2.063,1.4149,1.4229,1.4231,1.4457,1.4555,1.419,1.3914
0.164,1.0847,1.2215,1.3584,1.5963,1.767,1.9331,2.063,1.4196,1.4208,1.4198,1.4461,1.4574,1.4248,1.382
0.168,1.0847,1.2207,1.3576,1.5959,1.7659,1.933,2.0583,1.429,1.4171,1.417,1.4406,1.4586,1.4357,1.382
0.172,1.08,1.219,1.3581,1.6006,1.7728,1.9416,2.0677,1.4243,1.4216,1.4173,1.4383,1.4617,1.4313,1.3726
0.176,1.0894,1.2266,1.3637,1.6026,1.7723,1.9399,2.063,1.429,1.4238,1.4176,1.4419,1.4669,1.4376,1.3773
0.18,1.0847,1.2242,1.3639,1.6076,1.7792,1.9519,2.0677,1.429,1.4209,1.4151,1.4313,1.4636,1.452,1.3773
