t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
0.008,1.394,1.5308,1.6677,1.9072,2.075,2.2275,2.3562,1.1435,1.1458,1.1457,1.1511,1.1238,1.0468,1.0005
0.012,1.3897,1.5259,1.6623,1.9009,2.0697,2.2245,2.3518,1.1391,1.1445,1.1473,1.1505,1.1307,1.0609,1.0135
0.016,1.3853,1.5233,1.6614,1.9029,2.0736,2.229,2.3605,1.1435,1.1488,1.1481,1.1539,1.1313,1.0586,1.0221
0.02,1.3897,1.5262,1.6629,1.9017,2.0707,2.2253,2.3518,1.1435,1.1449,1.1462,1.1557,1.1347,1.0644,1.0135
0.024,1.3897,1.525,1.6604,1.897,2.0659,2.2203,2.3388,1.1435,1.1459,1.1394,1.1551,1.1432,1.079,1.0135
0.028,1.3897,1.5275,1.6654,1.9065,2.0782,2.231,2.3562,1.1521,1.147,1.1411,1.1541,1.1491,1.0747,1.0178
0.032,1.394,1.5316,1.669,1.9094,2.0813,2.2336,2.3562,1.1478,1.1462,1.1372,1.1571,1.1474,1.0764,1.0135
0.036,1.3853,1.5237,1.6621,1.9039,2.0762,2.2338,2.3518,1.1521,1.1498,1.1447,1.1556,1.1554,1.0901,1.0178
0.04,1.3897,1.528,1.6663,1.9082,2.081,2.2374,2.3562,1.1565,1.1513,1.1436,1.1589,1.1596,1.0932,1.0221
0.044,1.3897,1.5289,1.6677,1.9111,2.0851,2.2443,2.3605,1.1565,1.1541,1.1414,1.1564,1.1582,1.0991,1.0221
0.048,1.3897,1.5262,1.6621,1.9012,2.0717,2.233,2.3388,1.1608,1.155,1.1395,1.1525,1.1665,1.117,1.0308
0.052,1.394,1.53,1.6654,1.9037,2.0738,2.2371,2.3432,1.1608,1.1563,1.1413,1.154,1.1626,1.1243,1.0395
0.056,1.394,1.5302,1.6663,1.9053,2.0755,2.2404,2.3388,1.1651,1.1546,1.1414,1.1501,1.1659,1.1324,1.0395
0.06,1.394,1.5298,1.6655,1.9046,2.0748,2.2424,2.3432,1.1738,1.1595,1.1437,1.1513,1.1665,1.1419,1.0525
0.064,1.394,1.5312,1.6683,1.9095,2.0813,2.2505,2.3518,1.1738,1.1598,1.1452,1.1534,1.1689,1.1421,1.0525
0.068,1.394,1.5308,1.667,1.9074,2.0783,2.248,2.3562,1.1738,1.161,1.1419,1.1517,1.1694,1.1527,1.0698
0.072,1.3983,1.5331,1.6689,1.9076,2.0771,2.2467,2.3562,1.1825,1.1599,1.1453,1.1485,1.1694,1.1588,1.0828
0.076,1.3983,1.5339,1.6698,1.9101,2.0799,2.2488,2.3692,1.1868,1.1642,1.1436,1.1438,1.1704,1.1592,1.0958
0.08,1.394,1.531,1.6674,1.9083,2.0793,2.2508,2.3692,1.1868,1.1704,1.1495,1.1462,1.1699,1.1698,1.1001
