t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midx8,midx9,midx10,midx11,midx12,midx13,midx14,midx15,midx16,midx17,midx18,midx19,midx20,midx21,midx22,midx23,midx24,midx25,midx26,midx27,midx28,midx29,midx30,midy1,midy2,midy3,midy4,midy5,midy6,midy7,midy8,midy9,midy10,midy11,midy12,midy13,midy14,midy15,midy16,midy17,midy18,midy19,midy20,midy21,midy22,midy23,midy24,midy25,midy26,midy27,midy28,midy29,midy30
0.008,1.8826,1.9171,1.9516,1.986,2.0203,2.0551,2.0897,2.1244,2.159,2.1937,2.2283,2.2629,2.2974,2.3319,2.3663,2.4007,2.4352,2.4697,2.5042,2.5389,2.5735,2.608,2.6422,2.6758,2.7078,2.7393,2.7717,2.8049,2.8383,2.8721,1.1181,1.1211,1.1247,1.129,1.1322,1.1315,1.1318,1.1327,1.1335,1.1346,1.136,1.1378,1.141,1.1444,1.1484,1.1531,1.1566,1.16,1.1624,1.1631,1.1615,1.1577,1.1523,1.1437,1.1305,1.116,1.1035,1.0938,1.0845,1.0769
0.012,1.8826,1.9169,1.9511,1.9855,2.0199,2.0544,2.0889,2.1233,2.1578,2.1922,2.2266,2.2609,2.2953,2.3295,2.3637,2.398,2.4322,2.4663,2.5004,2.5346,2.569,2.6033,2.6375,2.6714,2.7045,2.7362,2.7675,2.7988,2.8295,2.8603,1.1181,1.1215,1.1258,1.1287,1.1287,1.1276,1.1269,1.1267,1.1279,1.1301,1.133,1.136,1.1393,1.1437,1.1478,1.1518,1.1559,1.1608,1.1661,1.1705,1.1738,1.1708,1.1667,1.1602,1.1507,1.137,1.1225,1.108,1.0923,1.0769
0.016,1.8826,1.9169,1.9512,1.9853,2.0196,2.0541,2.0885,2.123,2.1575,2.1919,2.2264,2.2607,2.295,2.3291,2.3632,2.3971,2.431,2.4652,2.4995,2.5339,2.5684,2.6028,2.6372,2.6708,2.7027,2.7347,2.767,2.7985,2.8296,2.8603,1.1181,1.1217,1.1257,1.131,1.1305,1.1276,1.1259,1.1245,1.1245,1.1261,1.1287,1.132,1.1359,1.1409,1.1463,1.1525,1.1589,1.164,1.1677,1.1701,1.1719,1.1695,1.1678,1.1598,1.1467,1.1337,1.1215,1.1075,1.0925,1.0769
0.02,1.8826,1.9161,1.9497,1.9841,2.019,2.0541,2.0891,2.1241,2.1592,2.1942,2.2292,2.2642,2.299,2.3339,2.3688,2.4034,2.438,2.4728,2.5077,2.5426,2.5776,2.6126,2.6476,2.6824,2.7155,2.7482,2.7779,2.8076,2.8345,2.8603,1.1063,1.1165,1.1266,1.1333,1.1336,1.1322,1.1314,1.1303,1.1299,1.1308,1.1325,1.1353,1.1389,1.1418,1.1457,1.151,1.1566,1.1611,1.1642,1.1669,1.1693,1.1706,1.1713,1.1665,1.1554,1.1425,1.1239,1.1054,1.0828,1.0592
0.024,1.8767,1.9113,1.9458,1.9804,2.0148,2.0493,2.0838,2.1184,2.153,2.1875,2.2219,2.2563,2.2907,2.3251,2.3595,2.394,2.4284,2.4628,2.4972,2.5315,2.5659,2.6005,2.635,2.6696,2.7039,2.7367,2.7691,2.7973,2.8242,2.8486,1.1299,1.1318,1.1334,1.1341,1.1333,1.1305,1.1283,1.1268,1.1273,1.1293,1.1331,1.137,1.1405,1.1437,1.147,1.1503,1.1537,1.157,1.1608,1.1649,1.1684,1.1708,1.1709,1.1711,1.1662,1.1554,1.143,1.1232,1.1015,1.0769
0.028,1.8885,1.9222,1.9558,1.9897,2.0235,2.0574,2.0913,2.1252,2.1591,2.1931,2.227,2.2609,2.2947,2.3285,2.3622,2.3956,2.4289,2.4621,2.4955,2.5291,2.5628,2.5967,2.6307,2.6643,2.6978,2.7305,2.7627,2.7939,2.8224,2.8486,1.124,1.1279,1.1322,1.1348,1.134,1.1322,1.131,1.1301,1.1299,1.1302,1.1313,1.1328,1.1349,1.1384,1.1424,1.1479,1.1548,1.1618,1.1676,1.1724,1.1757,1.1773,1.1771,1.1731,1.1676,1.1585,1.1479,1.1346,1.1161,1.0945
0.032,1.8885,1.9223,1.956,1.9904,2.0247,2.059,2.0933,2.1277,2.1621,2.1965,2.2309,2.2653,2.2996,2.3338,2.3679,2.4019,2.4359,2.4697,2.5035,2.5373,2.5714,2.6055,2.6397,2.6739,2.7086,2.7405,2.7732,2.8038,2.8327,2.8603,1.1181,1.1244,1.1309,1.1332,1.132,1.1295,1.128,1.1271,1.1271,1.1277,1.1284,1.1293,1.131,1.135,1.1394,1.1446,1.1501,1.1562,1.1627,1.1687,1.1738,1.1779,1.1817,1.1843,1.1841,1.1717,1.1612,1.1455,1.1268,1.1063
0.036,1.8767,1.911,1.9452,1.9797,2.0144,2.0493,2.0841,2.1189,2.1537,2.1885,2.2233,2.2581,2.2929,2.3276,2.3621,2.3967,2.4313,2.4658,2.5003,2.5346,2.5686,2.6028,2.6375,2.6722,2.7072,2.74,2.7741,2.8055,2.8336,2.8603,1.1181,1.1239,1.1302,1.135,1.1353,1.1341,1.1334,1.1327,1.1329,1.1333,1.1338,1.1345,1.1355,1.1379,1.1424,1.1464,1.1505,1.1545,1.1593,1.1656,1.1728,1.179,1.183,1.1841,1.1825,1.1714,1.1641,1.1492,1.1286,1.1063
0.04,1.8826,1.917,1.9514,1.9858,2.0201,2.0545,2.0889,2.1233,2.1577,2.1922,2.2266,2.2609,2.2953,2.3297,2.364,2.3979,2.4315,2.4651,2.4988,2.5325,2.566,2.5999,2.6342,2.6687,2.7031,2.7372,2.7716,2.8016,2.8291,2.8545,1.1299,1.1315,1.1324,1.1324,1.1322,1.13,1.1284,1.127,1.127,1.1272,1.1278,1.1301,1.1316,1.1332,1.1368,1.1427,1.15,1.1577,1.1646,1.1718,1.1796,1.1858,1.1884,1.1886,1.187,1.183,1.1783,1.1621,1.1414,1.1181
0.044,1.8826,1.9171,1.9514,1.986,2.0204,2.0549,2.0895,2.1241,2.1588,2.1934,2.228,2.2626,2.2972,2.3317,2.3659,2.4001,2.4343,2.4685,2.5027,2.5368,2.571,2.6051,2.6394,2.674,2.7086,2.7432,2.7775,2.8108,2.8421,2.8721,1.1299,1.1335,1.1378,1.1406,1.1388,1.1355,1.1337,1.1327,1.1328,1.1318,1.1301,1.1281,1.1275,1.1312,1.1365,1.1423,1.1479,1.1532,1.1586,1.1651,1.1703,1.1765,1.1809,1.1836,1.1842,1.1823,1.1775,1.1679,1.153,1.1358
0.048,1.8826,1.917,1.9515,1.9859,2.0201,2.0544,2.0887,2.1231,2.1575,2.192,2.2264,2.2608,2.2953,2.3297,2.3639,2.3977,2.4314,2.465,2.4989,2.5328,2.5667,2.6007,2.6348,2.669,2.7034,2.7378,2.7721,2.8055,2.8366,2.8662,1.1417,1.1418,1.141,1.1393,1.1353,1.1318,1.1291,1.1273,1.1264,1.1257,1.125,1.1244,1.124,1.1246,1.1286,1.1351,1.1426,1.1498,1.156,1.1622,1.1684,1.1741,1.1787,1.1826,1.1853,1.1856,1.1825,1.174,1.1592,1.1417
