t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midx8,midx9,midx10,midx11,midx12,midx13,midx14,midx15,midx16,midx17,midx18,midx19,midx20,midx21,midx22,midx23,midx24,midx25,midx26,midx27,midx28,midx29,midx30,midy1,midy2,midy3,midy4,midy5,midy6,midy7,midy8,midy9,midy10,midy11,midy12,midy13,midy14,midy15,midy16,midy17,midy18,midy19,midy20,midy21,midy22,midy23,midy24,midy25,midy26,midy27,midy28,midy29,midy30
0.02,0.85929,0.89339,0.9275,0.96155,0.99619,1.0308,1.0655,1.1001,1.1347,1.1694,1.204,1.2386,1.2732,1.3078,1.3424,1.377,1.4116,1.4462,1.4809,1.5154,1.5499,1.5843,1.6175,1.6487,1.6786,1.7087,1.7377,1.7661,1.7932,1.8197,0.9454,0.95152,0.9577,0.96385,0.96521,0.96633,0.9668,0.96665,0.96572,0.96457,0.96329,0.96199,0.96028,0.95812,0.95597,0.95415,0.95295,0.95278,0.95384,0.95609,0.95953,0.96406,0.97372,0.98882,1.0063,1.0235,1.0424,1.0623,1.0839,1.1062
0.03,0.85929,0.89372,0.92749,0.96039,0.99486,1.0293,1.0638,1.0983,1.1328,1.1674,1.2019,1.2364,1.2709,1.3054,1.3399,1.3744,1.4089,1.4434,1.4779,1.5124,1.5469,1.5814,1.6156,1.6488,1.6806,1.7117,1.7408,1.7655,1.789,1.8102,0.93593,0.9389,0.94534,0.95572,0.9583,0.95964,0.96097,0.96181,0.96198,0.96192,0.96167,0.96121,0.96059,0.95986,0.95901,0.95783,0.95648,0.95524,0.95414,0.95308,0.9529,0.95451,0.95897,0.96854,0.98195,0.99693,1.0154,1.0395,1.0648,1.0921
0.04,0.85456,0.88904,0.92306,0.95743,0.99226,1.0272,1.0621,1.0971,1.132,1.1671,1.2021,1.237,1.2719,1.3069,1.3418,1.3768,1.4117,1.4467,1.4817,1.5168,1.5518,1.5868,1.6216,1.656,1.6901,1.7238,1.7547,1.7806,1.8018,1.8244,0.9312,0.93739,0.94584,0.95258,0.95647,0.95951,0.96225,0.96459,0.96678,0.96818,0.9676,0.96507,0.962,0.95928,0.95681,0.95418,0.95173,0.94965,0.94893,0.94899,0.94833,0.94957,0.95394,0.96046,0.96868,0.97814,0.99475,1.0184,1.0463,1.0731
0.05,0.86402,0.89756,0.93079,0.96431,0.9982,1.0322,1.0662,1.1003,1.1344,1.1685,1.2025,1.2366,1.2708,1.305,1.3392,1.3733,1.4074,1.4414,1.4755,1.5096,1.5436,1.5777,1.612,1.6462,1.6799,1.7126,1.7448,1.7723,1.7991,1.8244,0.91701,0.92385,0.93211,0.93897,0.94386,0.94808,0.95187,0.95502,0.95785,0.96104,0.9645,0.96773,0.97023,0.97129,0.97023,0.96763,0.96425,0.96061,0.95727,0.95396,0.95041,0.94768,0.94655,0.94805,0.95389,0.96396,0.97487,0.99578,1.0168,1.04
0.06,0.85929,0.89257,0.92534,0.95832,0.99187,1.0256,1.0595,1.0935,1.1278,1.162,1.1963,1.2306,1.2649,1.2992,1.3335,1.3678,1.402,1.4362,1.4702,1.5042,1.5382,1.5724,1.6066,1.641,1.6752,1.7095,1.743,1.7738,1.802,1.8291,0.90755,0.91587,0.92606,0.93549,0.94273,0.94903,0.95457,0.95853,0.96102,0.96297,0.96465,0.96604,0.96704,0.96718,0.96634,0.96474,0.96258,0.95954,0.95521,0.95041,0.94601,0.94278,0.94093,0.94051,0.94168,0.94416,0.9511,0.96632,0.98587,1.0069
0.07,0.86402,0.89718,0.92995,0.96287,0.99676,1.0314,1.0656,1.1,1.1346,1.1694,1.2041,1.2389,1.2738,1.3087,1.3436,1.3785,1.4133,1.4481,1.4828,1.5175,1.5521,1.5866,1.621,1.6555,1.6904,1.7245,1.7574,1.7891,1.8192,1.8481,0.89336,0.90431,0.91639,0.9281,0.93598,0.94141,0.94848,0.9542,0.95892,0.9627,0.96618,0.96932,0.97169,0.97269,0.97192,0.96977,0.96709,0.96411,0.96056,0.95635,0.95134,0.94592,0.93968,0.93453,0.93554,0.94293,0.95482,0.96955,0.9873,1.0069
0.08,0.86402,0.89706,0.93013,0.9625,0.99556,1.0302,1.0637,1.0974,1.1311,1.165,1.1989,1.2329,1.267,1.3013,1.3356,1.37,1.4042,1.4385,1.4727,1.5066,1.5402,1.5737,1.6074,1.6412,1.6751,1.7092,1.7435,1.7769,1.8085,1.8386,0.89336,0.90281,0.91226,0.92351,0.93095,0.93372,0.94137,0.94813,0.9546,0.96032,0.96593,0.97123,0.97549,0.97795,0.97804,0.97649,0.97393,0.97088,0.96745,0.962,0.95463,0.94692,0.94018,0.93409,0.92823,0.9245,0.92578,0.93428,0.94776,0.96432
0.09,0.86402,0.89697,0.92959,0.96188,0.99434,1.0273,1.0602,1.0933,1.1263,1.1591,1.1918,1.2246,1.2579,1.2915,1.325,1.3586,1.3921,1.4257,1.4592,1.4926,1.526,1.5592,1.5923,1.6249,1.6574,1.6903,1.7237,1.7573,1.7908,1.8244,0.88862,0.89508,0.903,0.91221,0.9207,0.92722,0.93362,0.93936,0.9454,0.95273,0.96049,0.96725,0.97152,0.97352,0.97442,0.97452,0.97367,0.97227,0.97052,0.96742,0.96323,0.95848,0.9528,0.945,0.93657,0.92977,0.92659,0.9257,0.92561,0.92647
0.1,0.86402,0.89805,0.93173,0.96539,0.99931,1.0335,1.0676,1.1016,1.1353,1.1688,1.2024,1.2365,1.2709,1.3053,1.3399,1.3745,1.4091,1.4437,1.4783,1.5128,1.5472,1.5814,1.6147,1.6475,1.6799,1.7129,1.7471,1.7817,1.8156,1.8481,0.88862,0.89506,0.90314,0.91133,0.91828,0.92393,0.92992,0.9365,0.94441,0.95332,0.96178,0.96771,0.97196,0.97569,0.97808,0.97899,0.97893,0.97792,0.97606,0.97321,0.96899,0.96322,0.95394,0.94286,0.93059,0.91992,0.91481,0.91647,0.92399,0.93593
0.11,0.85929,0.89325,0.92696,0.96032,0.99355,1.027,1.0604,1.094,1.1276,1.1612,1.1947,1.2283,1.2619,1.2953,1.3293,1.3632,1.3972,1.4313,1.4653,1.4994,1.5333,1.5671,1.6003,1.6317,1.6624,1.694,1.7277,1.7618,1.7957,1.8291,0.89336,0.89645,0.90151,0.90861,0.9162,0.92287,0.92945,0.93544,0.94105,0.94699,0.95338,0.95943,0.96531,0.97225,0.97368,0.97773,0.98032,0.98197,0.98293,0.98144,0.97807,0.97345,0.96562,0.95221,0.93743,0.92474,0.9195,0.92081,0.92468,0.9312
