t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midx8,midx9,midx10,midx11,midx12,midx13,midx14,midx15,midx16,midx17,midx18,midx19,midx20,midx21,midx22,midx23,midx24,midx25,midx26,midx27,midx28,midx29,midx30,midy1,midy2,midy3,midy4,midy5,midy6,midy7,midy8,midy9,midy10,midy11,midy12,midy13,midy14,midy15,midy16,midy17,midy18,midy19,midy20,midy21,midy22,midy23,midy24,midy25,midy26,midy27,midy28,midy29,midy30
0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.13,1106.2,1156.4,1206.3,1256.4,1306.8,1357.2,1407.6,1458,1508.4,1558.8,1609.2,1659.6,1709.9,1760.3,1810.6,1860.6,1910.4,1959.9,2008.7,2056.5,2103,2148,2191.8,2233.1,2268.4,2303.9,2341.3,2380.4,2420.4,2461.6,928.91,928.85,920.57,915.17,912.05,910.44,909.69,908.7,907.47,906.12,904.08,901.55,898.77,895.74,891.93,885.85,877.77,868.03,855.46,839.17,819.65,796.98,771.96,742.99,706.98,671.17,637.28,605.49,574.78,545.72
0.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.15,1096,1145.9,1195.4,1245.1,1295.1,1345.1,1395.1,1445.2,1495.2,1545.2,1595.2,1645.2,1695.3,1745.3,1795.3,1845.4,1895.4,1945.3,1995.1,2043.7,2091.5,2138.1,2183.5,2225.9,2264.7,2302,2338.4,2370.4,2404,2435.1,932.98,930.59,922.83,917.69,914.83,913.44,912.59,911.43,910.2,909.04,907.71,906.35,905.23,904.62,903.92,904.25,903.04,899.97,894.97,883.02,868.47,850.21,829.13,802.5,770.92,737.64,703.26,664.77,627.72,588.53
0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.17,1081.8,1132.1,1182,1232.5,1283.1,1333.8,1384.6,1435.3,1486.1,1536.8,1587.5,1638.3,1689,1739.5,1790.1,1840.8,1891.6,1942.3,1993,2043.6,2093.7,2143.3,2192.2,2235.9,2278.8,2318.4,2354.1,2385.4,2410.7,2439.2,930.95,925.02,915.88,910.13,906.93,905.49,905.08,904.45,903.81,903.02,902.26,902.9,904.87,909.36,913.14,915.25,916.08,915.09,913.01,908.43,900.33,889.86,875.73,850.12,823.08,791.37,755.31,715.27,671.3,629.29
0.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.19,1073.6,1124,1173.9,1224.3,1274.8,1325.2,1375.8,1426.2,1476.7,1527.2,1577.8,1628.3,1678.8,1729,1778.6,1828.7,1878.8,1929.2,1979.8,2030.3,2080.8,2131.5,2181.1,2230,2276.3,2320.2,2359.9,2395,2422.3,2451.5,922.79,920.17,911.36,908.87,907.92,903.94,902.71,899.71,896.65,894.31,893.41,893.41,896.49,902.43,912.82,918.6,924.75,928.67,929.61,928.52,925.41,923.38,914.43,901.83,881.39,856.34,825.06,788.53,745.99,704.7
0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.21,1069.5,1117.9,1167.3,1216.3,1265.8,1315.4,1365.2,1414.9,1464.6,1514.3,1564.1,1614,1663.8,1713.3,1762.6,1811.7,1860.8,1910.1,1959.4,2008.6,2058,2107.7,2157.5,2206.8,2255.1,2302.5,2345.4,2381.5,2417.4,2447.4,939.1,927.5,920.02,911.42,904.93,900.55,897.15,893.55,889.86,886.73,884.62,884.18,886.71,892.38,899.97,908.47,916.86,924.19,931.49,939.57,946.53,950.19,948.29,940.16,927.88,912.36,887.08,852.71,818.2,778.08
