t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midx8,midx9,midx10,midx11,midx12,midx13,midx14,midx15,midx16,midx17,midx18,midx19,midx20,midx21,midx22,midx23,midx24,midx25,midx26,midx27,midx28,midx29,midx30,midy1,midy2,midy3,midy4,midy5,midy6,midy7,midy8,midy9,midy10,midy11,midy12,midy13,midy14,midy15,midy16,midy17,midy18,midy19,midy20,midy21,midy22,midy23,midy24,midy25,midy26,midy27,midy28,midy29,midy30
0.008,1.394,1.4282,1.4624,1.4966,1.5308,1.565,1.5993,1.6335,1.6677,1.7019,1.7361,1.7703,1.8046,1.8388,1.873,1.9072,1.9414,1.9757,2.0093,2.0427,2.075,2.1068,2.138,2.1681,2.1975,2.2275,2.2588,2.2908,2.3232,2.3562,1.1435,1.1424,1.1426,1.1443,1.1458,1.1456,1.1457,1.1456,1.1457,1.1462,1.1471,1.1482,1.1493,1.1504,1.151,1.1511,1.15,1.1485,1.1423,1.1351,1.1238,1.1111,1.0969,1.0807,1.0632,1.0468,1.0328,1.0206,1.0096,1.0005
0.012,1.3897,1.4237,1.4578,1.4919,1.5259,1.56,1.5941,1.6282,1.6623,1.6964,1.7305,1.7646,1.7986,1.8327,1.8668,1.9009,1.935,1.969,2.0031,2.0365,2.0697,2.1022,2.1344,2.1657,2.1954,2.2245,2.2547,2.2865,2.3188,2.3518,1.1391,1.1409,1.1421,1.1427,1.1445,1.1453,1.1462,1.1468,1.1473,1.1479,1.1486,1.1495,1.1506,1.1511,1.1508,1.1505,1.1492,1.147,1.145,1.1381,1.1307,1.1203,1.1089,1.0955,1.0787,1.0609,1.0451,1.0329,1.022,1.0135
0.016,1.3853,1.4198,1.4543,1.4887,1.5233,1.5578,1.5923,1.6268,1.6614,1.6959,1.7304,1.7649,1.7994,1.8339,1.8684,1.9029,1.9375,1.9717,2.006,2.04,2.0736,2.1065,2.1388,2.1707,2.2006,2.229,2.2591,2.2923,2.3261,2.3605,1.1435,1.144,1.1462,1.1485,1.1488,1.1481,1.1479,1.1478,1.1481,1.1487,1.1496,1.1503,1.1511,1.1527,1.1538,1.1539,1.1535,1.1488,1.1453,1.1394,1.1313,1.1208,1.1088,1.0955,1.0783,1.0586,1.0417,1.0323,1.0252,1.0221
0.02,1.3897,1.4238,1.4579,1.4921,1.5262,1.5604,1.5945,1.6287,1.6629,1.697,1.731,1.7651,1.7993,1.8334,1.8676,1.9017,1.9359,1.97,2.0041,2.0374,2.0707,2.1035,2.1358,2.167,2.1963,2.2253,2.2556,2.2872,2.3192,2.3518,1.1435,1.1417,1.142,1.1439,1.1449,1.145,1.1452,1.1454,1.1462,1.1482,1.1511,1.1534,1.1548,1.1559,1.1562,1.1557,1.1544,1.1523,1.1497,1.1423,1.1347,1.1252,1.114,1.1,1.0824,1.0644,1.0486,1.0355,1.0237,1.0135
0.024,1.3897,1.4235,1.4574,1.4912,1.525,1.5588,1.5926,1.6265,1.6604,1.6942,1.7281,1.7619,1.7956,1.8294,1.8632,1.897,1.9309,1.9648,1.9986,2.0323,2.0659,2.0992,2.1324,2.1626,2.192,2.2203,2.2491,2.2788,2.3087,2.3388,1.1435,1.1438,1.1457,1.1476,1.1459,1.1427,1.1408,1.1394,1.1394,1.1407,1.1425,1.1447,1.1476,1.1507,1.1534,1.1551,1.1553,1.1537,1.151,1.1477,1.1432,1.1371,1.1298,1.1145,1.0979,1.079,1.0612,1.045,1.0291,1.0135
0.028,1.3897,1.4241,1.4586,1.4931,1.5275,1.5619,1.5964,1.6309,1.6654,1.6999,1.7343,1.7688,1.8033,1.8377,1.8721,1.9065,1.9409,1.9754,2.0099,2.0442,2.0782,2.1117,2.1451,2.1753,2.2037,2.231,2.2602,2.2914,2.3233,2.3562,1.1521,1.1505,1.1492,1.1481,1.147,1.1438,1.1424,1.1414,1.1411,1.1416,1.1435,1.1451,1.1467,1.1485,1.1511,1.1541,1.1567,1.1585,1.1583,1.1551,1.1491,1.1411,1.1317,1.1153,1.0958,1.0747,1.0563,1.0416,1.0284,1.0178
0.032,1.394,1.4284,1.4629,1.4973,1.5316,1.5658,1.6002,1.6346,1.669,1.7035,1.7378,1.7722,1.8065,1.8407,1.875,1.9094,1.9438,1.9782,2.0126,2.047,2.0813,2.1154,2.1494,2.1771,2.2053,2.2336,2.2636,2.2941,2.3249,2.3562,1.1478,1.1476,1.1486,1.1489,1.1462,1.1419,1.1393,1.1374,1.1372,1.1388,1.1413,1.1442,1.1475,1.1515,1.1549,1.1571,1.1571,1.1553,1.1531,1.1506,1.1474,1.1431,1.136,1.1158,1.096,1.0764,1.0595,1.0434,1.028,1.0135
0.036,1.3853,1.4199,1.4545,1.4891,1.5237,1.5583,1.5929,1.6275,1.6621,1.6967,1.7313,1.7659,1.8005,1.835,1.8695,1.9039,1.9383,1.9728,2.0074,2.042,2.0762,2.1102,2.1439,2.1764,2.2039,2.2338,2.2634,2.2932,2.3226,2.3518,1.1521,1.1522,1.1524,1.1509,1.1498,1.1482,1.1469,1.1458,1.1447,1.1437,1.1436,1.1454,1.1469,1.1486,1.1517,1.1556,1.1594,1.1622,1.1627,1.1603,1.1554,1.1487,1.1409,1.1285,1.1077,1.0901,1.0722,1.0547,1.0364,1.0178
0.04,1.3897,1.4243,1.4589,1.4935,1.528,1.5625,1.597,1.6317,1.6663,1.7009,1.7355,1.7701,1.8047,1.8392,1.8738,1.9082,1.9427,1.9773,2.0119,2.0465,2.081,2.1151,2.1487,2.1817,2.2098,2.2374,2.2656,2.2954,2.3255,2.3562,1.1565,1.1557,1.1555,1.1536,1.1513,1.1474,1.1452,1.1437,1.1436,1.1444,1.1459,1.1482,1.1504,1.1525,1.1554,1.1589,1.1622,1.1644,1.1646,1.163,1.1596,1.1535,1.1451,1.1342,1.1141,1.0932,1.0731,1.0554,1.0382,1.0221
0.044,1.3897,1.4245,1.4593,1.4942,1.5289,1.5635,1.5982,1.6329,1.6677,1.7025,1.7373,1.7721,1.8069,1.8417,1.8764,1.9111,1.9458,1.9806,2.0155,2.0503,2.0851,2.1198,2.1542,2.1879,2.2151,2.2443,2.2734,2.3028,2.3318,2.3605,1.1565,1.1559,1.155,1.1551,1.1541,1.1491,1.1457,1.1427,1.1414,1.1422,1.144,1.1458,1.1475,1.1498,1.153,1.1564,1.1593,1.1607,1.1609,1.1603,1.1582,1.1546,1.1496,1.1397,1.1182,1.0991,1.0799,1.0612,1.0418,1.0221
