t,midx1,midy1,midx2,midy2,midx3,midy3,midx4,midy4,midx5,midy5,midx6,midy6,midx7,midy7,midx8,midy8,midx9,midy9,midx10,midy10,midx11,midy11,midx12,midy12,midx13,midy13,midx14,midy14,midx15,midy15,midx16,midy16,midx17,midy17
0,1163.343994,825.3079834,1366.294189,809.632019,1586.947388,775.3747559,1863.467651,712.9014282,2200.752197,647.5025635,2404.704834,641.8882446,2563.535645,676.7511597,1453.42334,871.074646,1513.633667,936.640625,1579.596069,965.7744751,1579.668457,900.9838257,1555.238037,858.2886963,1441.273315,730.2860718,1495.397461,674.0441284,1574.926147,645.0350952,1585.155151,677.4526367,1579.125488,706.9222412
1,1159.172241,836.4324951,1348.999756,824.0403442,1588.667969,783.9658203,1857.631714,722.0553589,2195.512939,646.3363647,2414.855957,631.6498413,2563.290283,674.7213745,1447.857178,883.8842163,1509.852051,946.2821655,1578.643677,975.4931641,1576.177856,905.868103,1553.896606,872.4346924,1434.565308,741.0085449,1487.686646,694.300354,1571.900757,661.7331543,1583.078369,692.7139282,1578.676147,719.555481
2,1154.059692,845.9335938,1340.412476,835.5118408,1591.484253,797.7036133,1852.984497,732.5686646,2195.954346,643.1599121,2408.574219,622.2243042,2558.311035,666.0462646,1441.86792,896.2536011,1499.884888,949.6428833,1577.535889,982.5563965,1568.05957,914.4656372,1550.896973,886.7473755,1430.268921,752.0837402,1476.432373,714.6069946,1565.445801,676.9125977,1582.083984,707.3410645,1577.780762,733.6506348
3,1150.198242,852.2723389,1334.03894,847.6674194,1598.193726,812.1289673,1854.939453,746.8324585,2131.502441,665.7235107,2379.944336,611.1412964,2558.80249,655.8105469,1439.677612,913.6235962,1501.386597,962.7528687,1576.987671,989.836853,1572.118896,930.7034302,1548.931763,898.2528687,1428.57959,768.4066162,1481.955688,723.0646362,1565.984253,693.1178589,1581.807617,726.3201294,1576.834839,748.992981
4,1144.918945,860.2807617,1335.785767,860.2763672,1558.035645,839.1594238,1846.710327,763.9255371,2201.023438,648.3486938,2371.707764,605.3287354,2556.6604,633.0673218,1437.325317,927.1090088,1500.521606,972.6818237,1575.900635,995.6466064,1572.267334,943.0514526,1551.369629,910.6411133,1423.437378,780.5892334,1481.8125,740.7288818,1570.280396,714.3614502,1582.460083,743.7859497,1574.62561,765.5471191
5,1139.558594,869.0484619,1338.827515,871.7255859,1549.576782,853.4748535,1842.23877,780.2937622,2117.024414,678.0767212,2361.291504,601.2666016,2547.998535,616.5605469,1434.124146,936.6355591,1499.272949,981.8510742,1568.819702,999.8485718,1569.461304,950.8017578,1553.092041,923.3894653,1425.976318,790.729248,1487.754639,748.1878052,1566.439941,729.2905884,1580.498291,757.0490723,1574.477539,778.7755127
6,1134.776978,877.8186646,1338.75293,882.4658203,1546.46228,865.0982666,1839.27771,798.807251,2196.308105,658.6324463,2347.822266,598.5090332,2536.018311,601.5578613,1429.299805,947.1962891,1498.114502,989.5105591,1563.845581,1004.644043,1566.847778,959.7619019,1556.049438,934.5117188,1425.503296,799.2001953,1485.091919,762.4908447,1565.483032,742.5734253,1580.10437,768.7434692,1573.098022,790.815918
7,1128.128662,886.9586182,1343.579956,892.0549316,1538.298218,874.0582275,1836.961792,819.1167603,2225.575684,651.3764648,2340.048096,598.3411865,2531.196777,593.059021,1428.215576,956.4364624,1498.690186,997.4069214,1561.913818,1007.021301,1566.247681,967.8480835,1552.480469,943.961792,1418.609131,809.1806641,1474.309448,775.4841919,1560.48584,754.0115967,1576.580566,779.5550537,1568.657349,800.7935181
8,1121.644409,897.880249,1336.783081,898.5509644,1556.755249,878.6693726,1836.176025,837.0180664,2221.064453,662.34552,2331.938965,599.852478,2518.896484,584.2711792,1421.443359,962.8440552,1498.095825,1001.474121,1557.858887,1007.80127,1565.736084,976.0422363,1549.874023,951.5379639,1415.850952,815.3153076,1475.218262,780.979126,1553.089478,760.956543,1570.040527,788.0939331,1563.079224,811.1658936
9,1116.376831,903.6863403,1331.589966,901.0892944,1535.130859,887.2542725,1838.226685,852.4312744,2176.880615,701.4816284,2325.444336,603.3807373,2506.602783,573.2887573,1416.888306,969.3623047,1495.825562,1006.095947,1554.164307,1009.794495,1564.396973,982.0751953,1551.639282,959.3305054,1409.100708,819.7046509,1467.286865,785.5632935,1546.945557,765.164978,1563.21582,793.5875854,1556.626221,819.7463989
