,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
66,,,,,,,,,,,,,,
67,1057.3,1264.8,1473.5,1837.3,2093.6,2353.7,2547.3,592.6,572.48,568.49,589.17,637.31,645.23,570.18
68,,,,,,,,,,,,,,
69,1061.4,1267.9,1476.1,1839.2,2094.7,2353.5,2551.3,592.6,568.9,564.93,577.64,626.64,652.14,594.64
70,,,,,,,,,,,,,,
71,1055.3,1262.1,1470.0,1833.9,2091.0,2346.1,2551.3,596.68,574.28,566.05,566.91,605.23,655.22,629.29
72,,,,,,,,,,,,,,
73,1051.2,1257.4,1463.7,1825.2,2082.1,2333.0,2539.1,590.56,578.18,566.41,562.03,586.34,647.16,651.71
74,,,,,,,,,,,,,,
75,1059.4,1264.0,1468.6,1826.9,2082.4,2331.2,2530.9,582.41,576.16,566.54,554.89,567.69,625.19,670.05
76,,,,,,,,,,,,,,
77,1057.3,1262.7,1468.4,1828.1,2085.2,2338.8,2528.9,586.49,579.92,575.01,556.33,560.82,600.3,678.21
78,,,,,,,,,,,,,,
79,1059.4,1265.1,1471.3,1831.1,2088.5,2344.4,2533.0,586.49,581.88,580.22,554.6,547.86,575.27,655.79
80,,,,,,,,,,,,,,
81,1065.5,1267.3,1469.3,1822.2,2074.1,2326.2,2512.6,588.53,591.34,589.15,564.12,545.45,552.17,623.18
82,,,,,,,,,,,,,,
83,1057.3,1260.5,1464.6,1820.5,2073.4,2327.7,2518.7,586.49,602.83,600.1,574.76,542.13,529.38,594.64
84,,,,,,,,,,,,,,
85,1063.4,1266.9,1471.6,1828.8,2081.9,2335.5,2533.0,592.6,611.24,608.55,584.49,547.73,519.19,564.07
86,,,,,,,,,,,,,,
87,1061.4,1266.7,1473.9,1835.4,2089.8,2343.9,2547.3,586.49,610.81,612.53,594.56,546.55,497.15,525.34
88,,,,,,,,,,,,,,
89,1067.5,1267.7,1469.9,1822.7,2070.8,2313.1,2514.6,592.6,617.35,626.69,610.34,562.95,490.91,486.61
90,,,,,,,,,,,,,,
91,1065.5,1263.7,1465.2,1817.9,2065.3,2301.9,2502.4,578.33,614.96,628.21,624.85,575.87,488.63,468.27
92,,,,,,,,,,,,,,
93,1067.5,1269.2,1471.7,1827.0,2076.3,2311.2,2508.5,588.53,611.95,632.15,642.9,596.63,499.03,449.93
94,,,,,,,,,,,,,,
95,1061.4,1262.8,1463.6,1815.8,2066.3,2292.2,2480.0,594.64,607.65,628.75,653.08,628.0,519.14,447.89
96,,,,,,,,,,,,,,
97,1063.4,1263.2,1464.0,1814.9,2065.5,2294.6,2467.8,592.6,613.99,627.67,657.21,649.77,550.23,447.89
98,,,,,,,,,,,,,,
99,1057.3,1262.2,1466.9,1824.5,2080.9,2320.8,2480.0,598.72,611.24,627.48,665.16,665.57,579.63,449.93
100,,,,,,,,,,,,,,
101,1063.4,1268.3,1472.7,1828.9,2084.7,2330.3,2486.1,600.75,606.18,620.51,661.71,673.47,610.25,478.46
102,,,,,,,,,,,,,,
103,1057.3,1263.2,1468.9,1826.4,2082.6,2334.8,2498.3,596.68,602.44,614.1,658.98,680.25,637.47,513.11
104,,,,,,,,,,,,,,
105,1055.3,1261.2,1468.0,1826.2,2082.7,2337.9,2508.5,586.49,602.55,609.62,657.95,689.0,664.82,549.8
106,,,,,,,,,,,,,,
107,1053.2,1258.3,1463.2,1819.8,2072.5,2327.5,2512.6,592.6,595.2,603.92,641.52,684.92,678.82,594.64
108,,,,,,,,,,,,,,
109,1051.2,1256.2,1461.8,1819.2,2071.3,2327.5,2518.7,578.33,587.74,594.9,634.32,684.22,695.22,625.21
110,,,,,,,,,,,,,,
111,1051.2,1256.2,1461.4,1818.7,2070.9,2324.6,2522.8,584.45,580.65,589.48,624.59,672.32,705.99,653.75
112,,,,,,,,,,,,,,
113,1053.2,1259.6,1466.4,1826.5,2078.8,2334.2,2537.1,586.49,581.14,584.89,615.48,670.98,709.76,676.17
114,,,,,,,,,,,,,,
115,1057.3,1258.1,1459.4,1810.3,2056.6,2302.1,2502.4,582.41,575.05,579.47,603.85,653.89,707.52,696.55
116,,,,,,,,,,,,,,
117,1053.2,1255.7,1459.0,1814.0,2062.6,2309.6,2512.6,588.53,577.2,578.29,593.55,646.1,704.3,708.78
118,,,,,,,,,,,,,,
119,1057.3,1262.0,1467.2,1825.7,2076.3,2322.2,2526.9,580.37,572.96,573.09,578.9,629.83,701.5,710.82
120,,,,,,,,,,,,,,
121,1059.4,1264.7,1470.4,1830.4,2084.0,2327.6,2530.9,578.33,573.17,574.71,574.46,610.66,692.57,723.05
122,,,,,,,,,,,,,,
123,1061.4,1268.5,1475.6,1838.1,2095.6,2338.4,2539.1,574.26,575.38,569.81,565.7,592.18,678.84,729.16
124,,,,,,,,,,,,,,
125,1061.4,1267.2,1473.6,1834.5,2091.9,2339.4,2530.9,578.33,572.19,573.86,565.32,577.85,646.2,723.05
126,,,,,,,,,,,,,,
127,1067.5,1272.5,1478.4,1838.4,2095.6,2346.9,2524.8,564.07,576.12,577.18,560.85,564.65,615.29,716.93
128,,,,,,,,,,,,,,
129,1069.5,1275.0,1481.1,1841.4,2098.8,2355.2,2524.8,564.07,573.94,578.37,561.91,550.37,576.49,690.44
130,,,,,,,,,,,,,,
131,1067.5,1270.5,1474.2,1830.3,2084.4,2338.8,2526.9,564.07,579.6,584.07,566.83,549.08,556.82,631.33
132,,,,,,,,,,,,,,
133,1077.7,1280.1,1484.4,1841.2,2094.6,2349.4,2541.1,557.95,583.42,586.02,573.0,541.58,533.04,598.72
134,,,,,,,,,,,,,,
135,1073.6,1276.7,1481.8,1840.2,2094.5,2348.9,2547.3,555.91,581.18,587.51,577.49,545.9,515.36,559.99
136,,,,,,,,,,,,,,
137,1083.8,1283.6,1487.9,1845.2,2098.4,2347.8,2551.3,541.65,582.78,592.12,594.64,561.36,505.68,519.23
138,,,,,,,,,,,,,,
139,1085.9,1286.5,1491.7,1850.6,2106.1,2352.8,2557.4,539.61,580.62,592.81,601.33,575.13,503.76,484.58
140,,,,,,,,,,,,,,
141,1094.0,1293.1,1496.9,1853.7,2108.1,2348.7,2549.3,539.61,581.55,594.91,605.96,585.58,501.06,464.19
142,,,,,,,,,,,,,,
143,1094.0,1297.3,1501.6,1859.7,2115.1,2351.2,2549.3,543.68,569.3,589.85,620.1,604.87,507.34,454.0
144,,,,,,,,,,,,,,
145,1092.0,1297.0,1501.7,1858.9,2114.8,2348.0,2535.0,559.99,569.79,584.59,626.16,627.04,526.07,441.77
146,,,,,,,,,,,,,,
147,1087.9,1287.9,1488.6,1837.7,2087.9,2329.9,2486.1,566.11,577.96,585.16,623.94,638.89,582.7,458.08
148,,,,,,,,,,,,,,
149,1096.0,1295.3,1494.6,1841.3,2088.8,2334.0,2484.1,570.18,573.81,580.01,619.47,649.28,622.11,494.77
150,,,,,,,,,,,,,,
151,1100.1,1298.6,1497.4,1843.8,2088.4,2335.8,2500.4,574.26,579.38,583.23,614.23,658.07,648.11,545.72
152,,,,,,,,,,,,,,
153,1098.1,1301.2,1504.6,1858.6,2107.5,2359.6,2543.2,570.18,577.9,576.29,604.04,656.4,665.04,582.41
154,,,,,,,,,,,,,,
155,1100.1,1303.5,1507.4,1862.6,2111.0,2361.2,2551.3,574.26,569.16,570.65,591.59,647.96,689.56,621.14
156,,,,,,,,,,,,,,
157,1096.0,1299.3,1503.6,1859.7,2109.6,2359.2,2557.4,574.26,560.1,564.62,587.25,638.09,683.78,643.56
158,,,,,,,,,,,,,,
