,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midy1,midy2,midy3,midy4,midy5,midy6,midy7
37,1.2319,1.3675,1.5041,1.7413,1.9114,2.0794,2.1955,0.89765,0.91001,0.90729,0.93341,0.94652,0.92503,0.85576
38,1.2319,1.3687,1.5054,1.7438,1.8431,2.0834,2.1908,0.90696,0.90577,0.96012,0.92422,0.94929,0.86067,0.92041
39,1.2319,1.3702,1.5085,1.7499,1.9203,2.092,2.2141,0.91162,0.91108,0.90645,0.9189,0.94836,0.95061,0.88834
40,1.2272,1.3658,1.5043,1.7465,1.9174,2.0904,2.2188,0.91627,0.91343,0.90465,0.92006,0.94992,0.96322,0.91627
41,1.2412,1.3765,1.5114,1.8286,1.9862,2.083,2.2095,0.92093,0.91753,0.90281,0.91446,0.94013,0.9717,0.93489
42,1.2365,1.3729,1.5087,1.7484,1.917,2.0835,2.2188,0.92558,0.92089,0.90265,0.90655,0.9363,0.97575,0.87282
43,1.2365,1.3738,1.511,1.7521,1.9223,2.087,2.2234,0.93024,0.9196,0.83674,0.90738,0.93291,0.92279,0.96748
44,1.2272,1.365,1.5024,1.7434,1.914,2.0774,2.1341,0.93489,0.92755,0.91443,0.8089700000000001,0.92225,0.9766,0.99075
45,1.2319,1.2984,1.5646,1.7441,1.9146,2.075,2.2095,0.93489,0.92593,0.9137,0.90561,0.91609,0.97172,0.99541
46,1.2319,1.3713,1.5105,1.754,1.9283,2.0883,2.3034,0.93024,0.98726,0.91642,0.7957500000000001,0.90513,0.97033,1.0047
47,1.2365,1.375,1.5134,1.7553,1.9282,2.0902,2.2234,0.92558,0.92432,0.91718,0.90008,0.97959,0.9573,0.99541
48,1.2365,1.375,1.5137,1.7559,1.929,2.0949,2.2188,0.92558,0.92841,0.92043,0.90092,0.88968,0.93285,0.99541
49,1.2272,1.4460000000000002,1.5051,1.7472,1.9203,2.1623,2.2048,0.92093,0.9269,0.9252,0.90159,0.88692,0.9072,0.9861
50,1.2319,1.3668,1.5026,1.7395,1.9082,2.076,2.1955,0.91627,0.92867,0.92521,0.90782,0.88896,0.90407,0.96282
51,1.2365,1.3698,1.5059,1.8136,1.9111,2.0809,2.2048,0.90231,0.92498,1.00784,0.91734,0.88794,0.88706,0.93955
52,1.2412,1.3771,1.5148,1.7553,1.9258,2.0977,2.2281,0.89765,0.92086,0.92971,0.91091,0.8847,0.87795,0.86093
53,1.2365,1.3727,1.5105,1.752,1.9223,2.1638,2.1581,0.89765,0.92094,0.93023,0.85981,0.89028,0.93008,0.89765
54,1.2459,1.3803,1.5155,1.7533,1.8599,2.1574,2.2234,0.893,0.91313,0.92689,0.8555299999999999,0.89173,0.86486,0.86507
55,1.2412,1.3771,1.5142,1.7549,1.9238,2.0905,2.2281,0.893,0.8249500000000001,0.92727,0.93327,0.90237,0.86043,0.85576
56,1.2459,1.3818,1.518,1.7578,1.9276,2.0917,2.2281,0.893,0.91107,0.98604,0.92936,0.90775,0.85836,0.84645
